Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, NH White, 2015"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Jeff Davis,1372,  ~,  ~,  ~,  ~,  ~
Blanco,8668,18,207.7,156.3,82.0,273.1
Yoakum,2833,  ~,  ~,  ~,  ~,  ~
Gonzales,8786,16,182.1,134.5,71.3,234.5
Maverick,1594,  ~,  ~,  ~,  ~,  ~
Winkler,3001,  ~,  ~,  ~,  ~,  ~
Mason,2989,  ~,  ~,  ~,  ~,  ~
Irion,1109,  ~,  ~,  ~,  ~,  ~
Terry,5280,  ~,  ~,  ~,  ~,  ~
Mills,3929,  ~,  ~,  ~,  ~,  ~
Hansford,2898,  ~,  ~,  ~,  ~,  ~
Ochiltree,4809,  ~,  ~,  ~,  ~,  ~
Collingsworth,1811,  ~,  ~,  ~,  ~,  ~
Garza,2671,  ~,  ~,  ~,  ~,  ~
Haskell,3885,  ~,  ~,  ~,  ~,  ~
Aransas,17004,31,182.3,104.2,64.6,163.3
Madison,7912,  ~,  ~,  ~,  ~,  ~
Starr,2233,  ~,  ~,  ~,  ~,  ~
Sherman,1671,  ~,  ~,  ~,  ~,  ~
Burleson,11651,  ~,  ~,  ~,  ~,  ~
San Patricio,26814,30,111.9,84.0,55.7,122.9
Williamson,316651,304,96.0,84.0,74.7,94.2
Polk,33417,42,125.7,83.6,57.7,118.2
Rockwall,66339,63,95.0,82.8,63.2,106.8
Hardin,49101,50,101.8,81.6,59.8,109.0
Bexar,556901,563,101.1,80.5,73.7,87.7
Bell,164093,140,85.3,80.3,67.3,95.2
Johnson,119392,119,99.7,79.9,65.8,96.3
Collin,553279,496,89.7,79.6,72.5,87.2
Travis,596463,505,84.7,78.0,71.1,85.4
Dallas,793786,840,105.8,77.8,72.3,83.5
Bastrop,44363,48,108.2,77.6,55.2,106.8
Hutchinson,15786,  ~,  ~,  ~,  ~,  ~
Kerr,35801,46,128.5,77.6,52.8,111.5
Lee,10889,  ~,  ~,  ~,  ~,  ~
Fort Bend,253882,223,87.8,77.2,67.0,88.5
Kaufman,77568,68,87.7,76.6,59.1,97.8
Denton,485974,393,80.9,75.6,68.0,83.8
Hamilton,6948,  ~,  ~,  ~,  ~,  ~
Chambers,26895,23,85.5,74.8,46.7,114.2
Wood,36192,49,135.4,74.7,53.0,104.1
Anderson,34720,38,109.5,74.2,51.9,104.2
Tarrant,984934,874,88.7,74.0,69.0,79.2
Parmer,3501,  ~,  ~,  ~,  ~,  ~
Willacy,2080,  ~,  ~,  ~,  ~,  ~
Nueces,111592,108,96.8,73.0,59.2,89.4
Menard,1329,  ~,  ~,  ~,  ~,  ~
Smith,136354,138,101.2,71.8,59.9,85.7
Limestone,14045,16,113.9,71.7,38.4,126.1
Caldwell,16848,  ~,  ~,  ~,  ~,  ~
Grayson,98078,101,103.0,71.3,57.4,87.8
Comal,89657,91,101.5,71.0,56.1,89.0
Kleberg,6752,  ~,  ~,  ~,  ~,  ~
Hall,1758,  ~,  ~,  ~,  ~,  ~
Ector,55788,44,78.9,70.5,50.4,96.1
Brazos,124752,75,60.1,70.5,55.0,89.0
Randall,97157,87,89.5,70.3,55.9,87.6
Coryell,46570,33,70.9,70.1,48.0,98.9
Upshur,33105,32,96.7,69.5,46.5,101.0
Kinney,1386,  ~,  ~,  ~,  ~,  ~
Cass,23252,24,103.2,68.5,42.7,106.2
Ward,4890,  ~,  ~,  ~,  ~,  ~
Taylor,89552,76,84.9,68.4,53.3,86.6
Parker,107574,94,87.4,68.1,54.5,84.2
Victoria,42740,39,91.2,68.0,47.1,95.6
Lubbock,165067,127,76.9,67.8,56.0,81.4
Bowie,61119,54,88.3,67.6,50.1,89.6
Stephens,6829,  ~,  ~,  ~,  ~,  ~
Midland,77549,59,76.1,66.7,49.9,87.5
Gregg,73359,65,88.6,66.5,50.6,86.0
Schleicher,1479,  ~,  ~,  ~,  ~,  ~
Harris,1440124,1181,82.0,65.9,62.0,70.0
Montague,16812,17,101.1,65.7,36.5,112.1
Atascosa,16800,16,95.2,65.0,35.7,111.2
Bee,10605,  ~,  ~,  ~,  ~,  ~
Delta,4295,  ~,  ~,  ~,  ~,  ~
El Paso,108121,83,76.8,64.8,51.1,81.1
Kendall,29785,31,104.1,64.7,42.7,96.2
Wilbarger,7839,  ~,  ~,  ~,  ~,  ~
Jim Wells,7613,  ~,  ~,  ~,  ~,  ~
Donley,2800,  ~,  ~,  ~,  ~,  ~
Hill,25214,24,95.2,63.9,37.9,102.1
Ellis,103976,79,76.0,63.4,49.7,79.9
Panola,17590,16,91.0,63.3,35.3,107.3
Gillespie,19759,23,116.4,63.1,35.4,108.4
Freestone,13504,  ~,  ~,  ~,  ~,  ~
McLennan,141328,119,84.2,63.0,51.8,76.1
Navarro,27946,27,96.6,62.7,40.2,95.1
Brazoria,173180,131,75.6,62.5,52.1,74.6
Cherokee,32122,27,84.0,62.4,39.5,94.3
Rusk,34722,30,86.4,62.1,40.9,91.4
Crosby,2403,  ~,  ~,  ~,  ~,  ~
Guadalupe,79518,59,74.2,61.7,46.5,80.5
Karnes,5769,  ~,  ~,  ~,  ~,  ~
Colorado,12091,  ~,  ~,  ~,  ~,  ~
Uvalde,7356,  ~,  ~,  ~,  ~,  ~
Pecos,4210,  ~,  ~,  ~,  ~,  ~
Jefferson,108102,97,89.7,60.7,48.8,75.0
Orange,69305,50,72.1,60.6,44.6,80.7
Lamb,5346,  ~,  ~,  ~,  ~,  ~
Hemphill,2787,  ~,  ~,  ~,  ~,  ~
Montgomery,369913,275,74.3,60.0,52.8,67.8
Matagorda,16758,  ~,  ~,  ~,  ~,  ~
Hays,110264,77,69.8,59.8,46.7,75.7
Henderson,63659,59,92.7,59.6,44.1,79.4
Liberty,53380,39,73.1,59.6,41.9,82.6
Wise,49386,38,76.9,59.4,41.0,83.7
Runnels,6484,  ~,  ~,  ~,  ~,  ~
Lamar,37897,30,79.2,59.3,39.0,87.0
Clay,9490,  ~,  ~,  ~,  ~,  ~
Cameron,39729,39,98.2,59.0,38.3,88.4
Titus,15285,  ~,  ~,  ~,  ~,  ~
Nacogdoches,39904,28,70.2,58.5,37.8,87.0
Hopkins,26957,23,85.3,58.4,36.3,90.8
Falls,9004,  ~,  ~,  ~,  ~,  ~
Grimes,16243,  ~,  ~,  ~,  ~,  ~
Tom Green,64758,48,74.1,57.6,41.6,77.9
Brown,27693,23,83.0,57.5,35.1,90.3
Lampasas,15157,  ~,  ~,  ~,  ~,  ~
Medina,21871,21,96.0,57.0,34.5,91.9
Wichita,88501,59,66.7,56.8,42.6,74.3
Galveston,189752,134,70.6,56.8,47.2,67.8
Young,14419,  ~,  ~,  ~,  ~,  ~
Franklin,8576,  ~,  ~,  ~,  ~,  ~
Burnet,33564,32,95.3,55.9,36.6,83.7
Live Oak,6713,  ~,  ~,  ~,  ~,  ~
Hale,12009,  ~,  ~,  ~,  ~,  ~
Gaines,11495,  ~,  ~,  ~,  ~,  ~
Eastland,14647,  ~,  ~,  ~,  ~,  ~
Washington,22621,18,79.6,53.8,29.2,92.5
Shackelford,2864,  ~,  ~,  ~,  ~,  ~
Harrison,43280,31,71.6,53.4,35.8,77.4
Calhoun,9513,  ~,  ~,  ~,  ~,  ~
Knox,2276,  ~,  ~,  ~,  ~,  ~
Hood,47431,44,92.8,53.1,37.4,74.5
Jackson,8925,  ~,  ~,  ~,  ~,  ~
Palo Pinto,21352,17,79.6,52.9,29.3,90.0
Walker,40723,27,66.3,52.8,34.4,78.9
Goliad,4477,  ~,  ~,  ~,  ~,  ~
Castro,2614,  ~,  ~,  ~,  ~,  ~
Floyd,2236,  ~,  ~,  ~,  ~,  ~
Waller,21414,16,74.7,52.2,28.9,89.0
Rains,9663,  ~,  ~,  ~,  ~,  ~
Wheeler,3881,  ~,  ~,  ~,  ~,  ~
Potter,55637,41,73.7,51.2,36.4,70.9
Hunt,66561,45,67.6,49.9,36.0,67.8
Erath,31448,17,54.1,49.6,27.8,82.1
Howard,18675,  ~,  ~,  ~,  ~,  ~
Fisher,2632,  ~,  ~,  ~,  ~,  ~
Jasper,26632,21,78.8,49.2,29.8,78.8
Coleman,6480,  ~,  ~,  ~,  ~,  ~
Milam,15528,  ~,  ~,  ~,  ~,  ~
Carson,5271,  ~,  ~,  ~,  ~,  ~
San Augustine,5782,  ~,  ~,  ~,  ~,  ~
Val Verde,8045,  ~,  ~,  ~,  ~,  ~
McCulloch,5386,  ~,  ~,  ~,  ~,  ~
Scurry,9536,  ~,  ~,  ~,  ~,  ~
Baylor,3011,  ~,  ~,  ~,  ~,  ~
