Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, 2016"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Coke,3255,  ~,  ~,  ~,  ~,  ~
Fisher,3874,  ~,  ~,  ~,  ~,  ~
Menard,2097,  ~,  ~,  ~,  ~,  ~
Stephens,9383,  ~,  ~,  ~,  ~,  ~
Jackson,14871,18,121.0,95.0,55.3,153.9
Armstrong,1838,  ~,  ~,  ~,  ~,  ~
Foard,1196,  ~,  ~,  ~,  ~,  ~
Hutchinson,21540,25,116.1,93.4,59.5,140.5
Hansford,5572,  ~,  ~,  ~,  ~,  ~
Hudspeth,4259,  ~,  ~,  ~,  ~,  ~
Wharton,41619,44,105.7,87.4,62.8,118.8
Clay,10268,  ~,  ~,  ~,  ~,  ~
Delta,5131,  ~,  ~,  ~,  ~,  ~
Briscoe,1481,  ~,  ~,  ~,  ~,  ~
Bailey,7138,  ~,  ~,  ~,  ~,  ~
Winkler,7917,  ~,  ~,  ~,  ~,  ~
Williamson,528207,409,77.4,78.8,71.2,87.1
Wilbarger,12893,  ~,  ~,  ~,  ~,  ~
Wood,43790,49,111.9,77.9,55.0,107.7
Milam,24678,27,109.4,76.8,49.7,114.8
Hardeman,3981,  ~,  ~,  ~,  ~,  ~
Fayette,24999,26,104.0,76.0,47.4,116.6
Comanche,13554,  ~,  ~,  ~,  ~,  ~
McCulloch,8121,  ~,  ~,  ~,  ~,  ~
Harrison,66657,55,82.5,74.3,55.4,97.6
Limestone,23466,24,102.3,73.5,46.4,112.2
Live Oak,12038,  ~,  ~,  ~,  ~,  ~
Caldwell,41095,32,77.9,73.0,49.4,104.0
Polk,47654,47,98.6,72.0,51.6,98.3
Zapata,14420,  ~,  ~,  ~,  ~,  ~
Orange,84652,69,81.5,71.0,54.8,90.5
Kaufman,118040,89,75.4,70.8,56.5,87.6
Uvalde,27082,21,77.5,70.7,43.0,109.6
Tom Green,117742,93,79.0,70.3,56.4,86.7
Collin,944313,665,70.4,70.1,64.7,75.8
Comal,134408,122,90.8,70.0,57.6,84.5
Rusk,52836,43,81.4,69.0,49.4,93.9
Tarrant,2023942,1351,66.8,69.0,65.2,72.8
Nueces,361753,274,75.7,68.7,60.6,77.6
Maverick,57901,36,62.2,68.5,47.8,94.9
Smith,225181,176,78.2,68.4,58.4,79.6
Ector,157748,93,59.0,68.3,54.9,84.0
Hale,34062,23,67.5,68.3,43.1,102.8
Cass,30048,26,86.5,68.3,43.1,103.4
Jim Hogg,5245,  ~,  ~,  ~,  ~,  ~
Hays,204581,127,62.1,68.0,56.4,81.4
Chambers,40160,27,67.2,67.9,44.0,100.0
Burleson,17862,17,95.2,67.7,37.7,114.1
Grayson,128309,101,78.7,67.7,54.6,83.1
Gregg,123493,91,73.7,67.2,53.7,82.9
Ward,11573,  ~,  ~,  ~,  ~,  ~
Wichita,131386,95,72.3,67.0,53.8,82.5
Bastrop,82642,67,81.1,66.9,51.3,85.9
Bell,341477,196,57.4,66.2,57.1,76.3
Fannin,33937,27,79.6,65.9,42.7,97.7
Upshur,40807,33,80.9,65.1,43.8,93.6
Denton,807566,499,61.8,65.0,59.1,71.2
Crockett,3652,  ~,  ~,  ~,  ~,  ~
Goliad,7516,  ~,  ~,  ~,  ~,  ~
Rockwall,93579,63,67.3,64.6,49.4,83.2
Moore,21638,  ~,  ~,  ~,  ~,  ~
Hood,56595,57,100.7,64.3,47.5,85.7
Houston,22892,20,87.4,64.2,38.2,102.6
Henderson,80099,72,89.9,64.1,49.3,82.4
