Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, Hispanic, 2016"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Freestone,2989,  ~,  ~,  ~,  ~,  ~
Eastland,2934,  ~,  ~,  ~,  ~,  ~
Mitchell,3371,  ~,  ~,  ~,  ~,  ~
Wheeler,1479,  ~,  ~,  ~,  ~,  ~
Jackson,4866,  ~,  ~,  ~,  ~,  ~
Hudspeth,3325,  ~,  ~,  ~,  ~,  ~
Crosby,3289,  ~,  ~,  ~,  ~,  ~
Leon,2438,  ~,  ~,  ~,  ~,  ~
McCulloch,2583,  ~,  ~,  ~,  ~,  ~
Sutton,2431,  ~,  ~,  ~,  ~,  ~
Fayette,5190,  ~,  ~,  ~,  ~,  ~
Matagorda,15683,  ~,  ~,  ~,  ~,  ~
Montague,2143,  ~,  ~,  ~,  ~,  ~
Coleman,1479,  ~,  ~,  ~,  ~,  ~
Kerr,13763,  ~,  ~,  ~,  ~,  ~
Kaufman,24065,  ~,  ~,  ~,  ~,  ~
Zapata,13588,  ~,  ~,  ~,  ~,  ~
Childress,2144,  ~,  ~,  ~,  ~,  ~
Milam,6492,  ~,  ~,  ~,  ~,  ~
Hardin,3162,  ~,  ~,  ~,  ~,  ~
Bailey,4582,  ~,  ~,  ~,  ~,  ~
Bell,83822,36,43.0,76.1,52.0,106.9
Comal,36256,24,66.2,76.0,47.8,114.3
Jim Hogg,4864,  ~,  ~,  ~,  ~,  ~
Ward,6112,  ~,  ~,  ~,  ~,  ~
Cochran,1672,  ~,  ~,  ~,  ~,  ~
Ector,94296,44,46.7,70.3,50.2,95.4
Hill,7099,  ~,  ~,  ~,  ~,  ~
Wilbarger,3729,  ~,  ~,  ~,  ~,  ~
Caldwell,21022,  ~,  ~,  ~,  ~,  ~
Hays,78317,28,35.8,66.0,42.4,96.8
Wise,12178,  ~,  ~,  ~,  ~,  ~
Kimble,1060,  ~,  ~,  ~,  ~,  ~
Wichita,24825,  ~,  ~,  ~,  ~,  ~
Nueces,229105,139,60.7,65.5,54.8,77.5
Collin,142359,57,40.0,65.2,46.6,88.4
Gillespie,6011,  ~,  ~,  ~,  ~,  ~
Maverick,55119,32,58.1,64.6,44.0,91.3
Potter,45727,20,43.7,64.3,38.2,101.1
Harrison,8462,  ~,  ~,  ~,  ~,  ~
Uvalde,19292,  ~,  ~,  ~,  ~,  ~
Bastrop,30312,  ~,  ~,  ~,  ~,  ~
El Paso,686850,391,56.9,61.7,55.6,68.2
Burleson,3679,  ~,  ~,  ~,  ~,  ~
Karnes,8380,  ~,  ~,  ~,  ~,  ~
Williamson,127836,45,35.2,60.2,42.0,83.1
Somervell,1626,  ~,  ~,  ~,  ~,  ~
San Patricio,38657,21,54.3,58.6,35.9,90.2
Orange,6170,  ~,  ~,  ~,  ~,  ~
Webb,260015,114,43.8,57.7,47.4,69.4
Blanco,2178,  ~,  ~,  ~,  ~,  ~
McLennan,64195,22,34.3,57.6,35.2,87.9
Erath,8548,  ~,  ~,  ~,  ~,  ~
Gregg,22743,  ~,  ~,  ~,  ~,  ~
Live Oak,4742,  ~,  ~,  ~,  ~,  ~
Travis,407518,128,31.4,54.6,44.5,66.1
Brazoria,105934,34,32.1,54.4,36.1,77.8
Wharton,16892,  ~,  ~,  ~,  ~,  ~
Taylor,32956,  ~,  ~,  ~,  ~,  ~
Moore,11992,  ~,  ~,  ~,  ~,  ~
Pecos,10889,  ~,  ~,  ~,  ~,  ~
Starr,61307,27,44.0,52.6,34.6,76.5
Falls,3922,  ~,  ~,  ~,  ~,  ~
Rusk,8670,  ~,  ~,  ~,  ~,  ~
Waller,14778,  ~,  ~,  ~,  ~,  ~
Concho,2255,  ~,  ~,  ~,  ~,  ~
Hidalgo,780167,308,39.5,50.3,44.8,56.3
Bexar,1156434,485,41.9,50.1,45.7,54.9
Cameron,376877,164,43.5,50.1,42.6,58.4
Cooke,6945,  ~,  ~,  ~,  ~,  ~
Jefferson,50898,19,37.3,49.9,29.1,80.0
Victoria,42793,16,37.4,49.0,27.5,79.7
Dimmit,9240,  ~,  ~,  ~,  ~,  ~
Medina,25449,  ~,  ~,  ~,  ~,  ~
Denton,154078,48,31.1,47.8,33.9,65.6
Randall,27763,  ~,  ~,  ~,  ~,  ~
Winkler,4820,  ~,  ~,  ~,  ~,  ~
Polk,7189,  ~,  ~,  ~,  ~,  ~
Stephens,2205,  ~,  ~,  ~,  ~,  ~
Llano,2113,  ~,  ~,  ~,  ~,  ~
Jones,5473,  ~,  ~,  ~,  ~,  ~
Reagan,2552,  ~,  ~,  ~,  ~,  ~
Lubbock,105772,32,30.2,45.6,30.4,65.3
Duval,10173,  ~,  ~,  ~,  ~,  ~
Smith,43074,  ~,  ~,  ~,  ~,  ~
Wilson,18975,  ~,  ~,  ~,  ~,  ~
Guadalupe,58156,20,34.4,44.6,26.6,69.5
Lee,3962,  ~,  ~,  ~,  ~,  ~
Tarrant,572968,152,26.5,44.3,36.7,52.8
Kendall,9796,  ~,  ~,  ~,  ~,  ~
Jim Wells,33137,  ~,  ~,  ~,  ~,  ~
Henderson,9823,  ~,  ~,  ~,  ~,  ~
Young,3316,  ~,  ~,  ~,  ~,  ~
Deaf Smith,13580,  ~,  ~,  ~,  ~,  ~
Dallas,1027687,270,26.3,42.9,37.2,49.1
Harris,1955219,545,27.9,42.0,38.2,46.1
Fort Bend,179653,55,30.6,41.5,30.4,55.1
Dallam,3285,  ~,  ~,  ~,  ~,  ~
Kleberg,22697,  ~,  ~,  ~,  ~,  ~
Brooks,6545,  ~,  ~,  ~,  ~,  ~
Galveston,79715,24,30.1,39.4,24.8,59.2
Coryell,13509,  ~,  ~,  ~,  ~,  ~
Brazos,55317,  ~,  ~,  ~,  ~,  ~
Comanche,3736,  ~,  ~,  ~,  ~,  ~
Reeves,11363,  ~,  ~,  ~,  ~,  ~
De Witt,7182,  ~,  ~,  ~,  ~,  ~
Parmer,6103,  ~,  ~,  ~,  ~,  ~
Midland,72211,19,26.3,36.2,21.4,57.6
Crockett,2415,  ~,  ~,  ~,  ~,  ~
Fannin,3708,  ~,  ~,  ~,  ~,  ~
Lavaca,3706,  ~,  ~,  ~,  ~,  ~
Dawson,7454,  ~,  ~,  ~,  ~,  ~
Refugio,3679,  ~,  ~,  ~,  ~,  ~
Nolan,5575,  ~,  ~,  ~,  ~,  ~
Chambers,8753,  ~,  ~,  ~,  ~,  ~
Montgomery,130278,28,21.5,33.4,20.4,51.1
Val Verde,39989,  ~,  ~,  ~,  ~,  ~
Parker,15487,  ~,  ~,  ~,  ~,  ~
Johnson,33650,  ~,  ~,  ~,  ~,  ~
Hale,20060,  ~,  ~,  ~,  ~,  ~
Gaines,8358,  ~,  ~,  ~,  ~,  ~
Kinney,2151,  ~,  ~,  ~,  ~,  ~
Bandera,3955,  ~,  ~,  ~,  ~,  ~
Terry,6962,  ~,  ~,  ~,  ~,  ~
Ellis,43535,  ~,  ~,  ~,  ~,  ~
Gonzales,10502,  ~,  ~,  ~,  ~,  ~
Zavala,11371,  ~,  ~,  ~,  ~,  ~
Tom Green,46638,  ~,  ~,  ~,  ~,  ~
Liberty,18409,  ~,  ~,  ~,  ~,  ~
Howard,15350,  ~,  ~,  ~,  ~,  ~
Andrews,10030,  ~,  ~,  ~,  ~,  ~
Wood,4264,  ~,  ~,  ~,  ~,  ~
Brown,8307,  ~,  ~,  ~,  ~,  ~
Lamb,7271,  ~,  ~,  ~,  ~,  ~
Lampasas,3998,  ~,  ~,  ~,  ~,  ~
Angelina,19068,  ~,  ~,  ~,  ~,  ~
Yoakum,5693,  ~,  ~,  ~,  ~,  ~
Runnels,3472,  ~,  ~,  ~,  ~,  ~
Brewster,4121,  ~,  ~,  ~,  ~,  ~
Grayson,16584,  ~,  ~,  ~,  ~,  ~
Washington,5409,  ~,  ~,  ~,  ~,  ~
Palo Pinto,5527,  ~,  ~,  ~,  ~,  ~
Van Zandt,5749,  ~,  ~,  ~,  ~,  ~
Hopkins,5963,  ~,  ~,  ~,  ~,  ~
Cherokee,11811,  ~,  ~,  ~,  ~,  ~
Castro,4941,  ~,  ~,  ~,  ~,  ~
Hood,6866,  ~,  ~,  ~,  ~,  ~
Scurry,7018,  ~,  ~,  ~,  ~,  ~
Willacy,19136,  ~,  ~,  ~,  ~,  ~
Colorado,6137,  ~,  ~,  ~,  ~,  ~
Bee,19250,  ~,  ~,  ~,  ~,  ~
La Salle,6529,  ~,  ~,  ~,  ~,  ~
Walker,12866,  ~,  ~,  ~,  ~,  ~
Austin,7781,  ~,  ~,  ~,  ~,  ~
Atascosa,31171,  ~,  ~,  ~,  ~,  ~
Calhoun,10637,  ~,  ~,  ~,  ~,  ~
Nacogdoches,12492,  ~,  ~,  ~,  ~,  ~
Navarro,12851,  ~,  ~,  ~,  ~,  ~
Hockley,10907,  ~,  ~,  ~,  ~,  ~
Hunt,14396,  ~,  ~,  ~,  ~,  ~
Titus,13779,  ~,  ~,  ~,  ~,  ~
Frio,15460,  ~,  ~,  ~,  ~,  ~
Rockwall,15962,  ~,  ~,  ~,  ~,  ~
Collingsworth,1018,0, 0.0, 0.0, 0.0, 0.0
Sherman,1350,0, 0.0, 0.0, 0.0, 0.0
Lamar,3749,0, 0.0, 0.0, 0.0, 0.0
Mason,1037,0, 0.0, 0.0, 0.0, 0.0
Martin,2638,0, 0.0, 0.0, 0.0, 0.0
Madison,3197,0, 0.0, 0.0, 0.0, 0.0
Lynn,2705,0, 0.0, 0.0, 0.0, 0.0
Haskell,1657,0, 0.0, 0.0, 0.0, 0.0
Hansford,2622,0, 0.0, 0.0, 0.0, 0.0
Floyd,3416,0, 0.0, 0.0, 0.0, 0.0
San Jacinto,3548,0, 0.0, 0.0, 0.0, 0.0
Franklin,1534,0, 0.0, 0.0, 0.0, 0.0
Shelby,4590,0, 0.0, 0.0, 0.0, 0.0
Hartley,1507,0, 0.0, 0.0, 0.0, 0.0
Schleicher,1573,0, 0.0, 0.0, 0.0, 0.0
San Saba,1765,0, 0.0, 0.0, 0.0, 0.0
Limestone,5027,0, 0.0, 0.0, 0.0, 0.0
Goliad,2694,0, 0.0, 0.0, 0.0, 0.0
Hamilton,1055,0, 0.0, 0.0, 0.0, 0.0
Robertson,3424,0, 0.0, 0.0, 0.0, 0.0
Gray,6535,0, 0.0, 0.0, 0.0, 0.0
Grimes,6509,0, 0.0, 0.0, 0.0, 0.0
Hall,1086,0, 0.0, 0.0, 0.0, 0.0
Rains,1017,0, 0.0, 0.0, 0.0, 0.0
Presidio,5978,0, 0.0, 0.0, 0.0, 0.0
Knox,1260,0, 0.0, 0.0, 0.0, 0.0
Jasper,2354,0, 0.0, 0.0, 0.0, 0.0
Crane,3042,0, 0.0, 0.0, 0.0, 0.0
Edwards,1052,0, 0.0, 0.0, 0.0, 0.0
Culberson,1610,0, 0.0, 0.0, 0.0, 0.0
Trinity,1427,0, 0.0, 0.0, 0.0, 0.0
Tyler,1568,0, 0.0, 0.0, 0.0, 0.0
Lipscomb,1169,0, 0.0, 0.0, 0.0, 0.0
Upshur,3359,0, 0.0, 0.0, 0.0, 0.0
Upton,1968,0, 0.0, 0.0, 0.0, 0.0
Cass,1313,0, 0.0, 0.0, 0.0, 0.0
Camp,3150,0, 0.0, 0.0, 0.0, 0.0
Callahan,1304,0, 0.0, 0.0, 0.0, 0.0
Burnet,10123,0, 0.0, 0.0, 0.0, 0.0
Bowie,7004,0, 0.0, 0.0, 0.0, 0.0
Hutchinson,4929,0, 0.0, 0.0, 0.0, 0.0
Bosque,3217,0, 0.0, 0.0, 0.0, 0.0
Aransas,6915,0, 0.0, 0.0, 0.0, 0.0
Swisher,3240,0, 0.0, 0.0, 0.0, 0.0
Garza,3153,0, 0.0, 0.0, 0.0, 0.0
Fisher,1104,0, 0.0, 0.0, 0.0, 0.0
Jack,1446,0, 0.0, 0.0, 0.0, 0.0
Hemphill,1363,0, 0.0, 0.0, 0.0, 0.0
Panola,2012,0, 0.0, 0.0, 0.0, 0.0
Ochiltree,5470,0, 0.0, 0.0, 0.0, 0.0
Morris,1162,0, 0.0, 0.0, 0.0, 0.0
Houston,2449,0, 0.0, 0.0, 0.0, 0.0
Anderson,10053,0, 0.0, 0.0, 0.0, 0.0
STATE,10892261,3810,35.0,48.2, 46.6,49.8

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 13, 2023."
"Cancer Incidence File, Apr 2022."
