Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, Hispanic, 2017"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Culberson,1627,  ~,  ~,  ~,  ~,  ~
Kimble,1081,  ~,  ~,  ~,  ~,  ~
Gillespie,6189,  ~,  ~,  ~,  ~,  ~
Tyler,1658,  ~,  ~,  ~,  ~,  ~
Lavaca,3771,  ~,  ~,  ~,  ~,  ~
Houston,2556,  ~,  ~,  ~,  ~,  ~
Callahan,1365,  ~,  ~,  ~,  ~,  ~
Swisher,3274,  ~,  ~,  ~,  ~,  ~
Duval,10039,  ~,  ~,  ~,  ~,  ~
Goliad,2735,  ~,  ~,  ~,  ~,  ~
Panola,2016,  ~,  ~,  ~,  ~,  ~
Runnels,3516,  ~,  ~,  ~,  ~,  ~
Dallam,3362,  ~,  ~,  ~,  ~,  ~
Madison,3309,  ~,  ~,  ~,  ~,  ~
Washington,5582,  ~,  ~,  ~,  ~,  ~
Bailey,4459,  ~,  ~,  ~,  ~,  ~
Floyd,3431,  ~,  ~,  ~,  ~,  ~
Wheeler,1354,  ~,  ~,  ~,  ~,  ~
Knox,1286,  ~,  ~,  ~,  ~,  ~
Aransas,7044,  ~,  ~,  ~,  ~,  ~
Fisher,1108,  ~,  ~,  ~,  ~,  ~
San Jacinto,3692,  ~,  ~,  ~,  ~,  ~
Hockley,11020,  ~,  ~,  ~,  ~,  ~
Crane,2964,  ~,  ~,  ~,  ~,  ~
Yoakum,5670,  ~,  ~,  ~,  ~,  ~
McCulloch,2553,  ~,  ~,  ~,  ~,  ~
Lampasas,4143,  ~,  ~,  ~,  ~,  ~
Henderson,10316,  ~,  ~,  ~,  ~,  ~
Chambers,9121,  ~,  ~,  ~,  ~,  ~
La Salle,6510,  ~,  ~,  ~,  ~,  ~
Johnson,35526,  ~,  ~,  ~,  ~,  ~
Gregg,22959,  ~,  ~,  ~,  ~,  ~
Hudspeth,3606,  ~,  ~,  ~,  ~,  ~
Mitchell,3281,  ~,  ~,  ~,  ~,  ~
Bosque,3410,  ~,  ~,  ~,  ~,  ~
Somervell,1634,  ~,  ~,  ~,  ~,  ~
Lamb,7350,  ~,  ~,  ~,  ~,  ~
Blanco,2238,  ~,  ~,  ~,  ~,  ~
Dawson,7347,  ~,  ~,  ~,  ~,  ~
Randall,29158,  ~,  ~,  ~,  ~,  ~
Wise,12705,  ~,  ~,  ~,  ~,  ~
Hays,83580,38,45.5,68.3,47.2,95.2
Cherokee,12045,  ~,  ~,  ~,  ~,  ~
Kaufman,26096,  ~,  ~,  ~,  ~,  ~
Moore,12104,  ~,  ~,  ~,  ~,  ~
Collin,147683,62,42.0,67.3,49.0,89.8
Dimmit,8973,  ~,  ~,  ~,  ~,  ~
Starr,61500,34,55.3,66.9,46.2,93.3
Victoria,43045,23,53.4,66.8,42.0,100.3
Coryell,13757,  ~,  ~,  ~,  ~,  ~
Williamson,133623,57,42.7,66.3,48.5,88.2
Kleberg,22387,  ~,  ~,  ~,  ~,  ~
Upton,1965,  ~,  ~,  ~,  ~,  ~
Cass,1333,  ~,  ~,  ~,  ~,  ~
Childress,2252,  ~,  ~,  ~,  ~,  ~
Uvalde,19321,  ~,  ~,  ~,  ~,  ~
Zapata,13450,  ~,  ~,  ~,  ~,  ~
Grayson,17388,  ~,  ~,  ~,  ~,  ~
Val Verde,40293,23,57.1,65.0,41.0,97.3
Cochran,1651,  ~,  ~,  ~,  ~,  ~
Mason,1057,  ~,  ~,  ~,  ~,  ~
Shelby,4605,  ~,  ~,  ~,  ~,  ~
Parker,16464,  ~,  ~,  ~,  ~,  ~
Liberty,20528,  ~,  ~,  ~,  ~,  ~
Smith,44163,  ~,  ~,  ~,  ~,  ~
El Paso,690383,398,57.6,61.9,55.9,68.3
Denton,160190,61,38.1,61.2,44.8,81.3
Ward,6092,  ~,  ~,  ~,  ~,  ~
Frio,15692,  ~,  ~,  ~,  ~,  ~
Polk,7478,  ~,  ~,  ~,  ~,  ~
Comal,38569,21,54.5,59.3,36.2,91.7
Brown,8410,  ~,  ~,  ~,  ~,  ~
Galveston,82041,36,43.9,56.4,38.7,79.0
Bexar,1178951,562,47.7,55.7,51.1,60.6
Bell,86740,30,34.6,55.6,36.2,81.2
Taylor,33464,  ~,  ~,  ~,  ~,  ~
Brewster,4234,  ~,  ~,  ~,  ~,  ~
Kerr,13949,  ~,  ~,  ~,  ~,  ~
Gonzales,10522,  ~,  ~,  ~,  ~,  ~
Webb,261227,111,42.5,53.2,43.7,64.2
Bee,19230,  ~,  ~,  ~,  ~,  ~
Brazoria,110650,37,33.4,53.0,35.8,74.8
Karnes,8535,  ~,  ~,  ~,  ~,  ~
Lynn,2780,  ~,  ~,  ~,  ~,  ~
Jim Wells,32969,18,54.6,52.1,30.7,82.9
Wilson,19582,  ~,  ~,  ~,  ~,  ~
Brazos,57144,16,28.0,50.5,26.9,85.7
Maverick,55108,25,45.4,50.4,32.4,74.5
Kinney,2214,  ~,  ~,  ~,  ~,  ~
Calhoun,10613,  ~,  ~,  ~,  ~,  ~
Lubbock,108167,35,32.4,49.6,33.9,69.7
San Patricio,38858,18,46.3,49.3,28.9,78.3
Nolan,5686,  ~,  ~,  ~,  ~,  ~
Wichita,25290,  ~,  ~,  ~,  ~,  ~
Ellis,45549,  ~,  ~,  ~,  ~,  ~
Potter,45974,  ~,  ~,  ~,  ~,  ~
Nueces,230533,104,45.1,48.1,39.2,58.4
Hidalgo,788013,297,37.7,47.9,42.6,53.7
Tarrant,589450,164,27.8,47.1,39.3,56.0
Cameron,378151,152,40.2,46.5,39.3,54.6
Eastland,2980,  ~,  ~,  ~,  ~,  ~
Ector,95120,30,31.5,46.3,30.5,67.1
Hopkins,6108,  ~,  ~,  ~,  ~,  ~
Harris,1988166,609,30.6,46.1,42.1,50.3
Austin,7964,  ~,  ~,  ~,  ~,  ~
Deaf Smith,13638,  ~,  ~,  ~,  ~,  ~
Harrison,8645,  ~,  ~,  ~,  ~,  ~
Gaines,8472,  ~,  ~,  ~,  ~,  ~
Burnet,10366,  ~,  ~,  ~,  ~,  ~
Dallas,1046358,309,29.5,45.0,39.5,51.0
Refugio,3619,  ~,  ~,  ~,  ~,  ~
Crosby,3292,  ~,  ~,  ~,  ~,  ~
Travis,413960,114,27.5,43.5,34.9,53.4
Matagorda,15712,  ~,  ~,  ~,  ~,  ~
Martin,2601,  ~,  ~,  ~,  ~,  ~
Llano,2227,  ~,  ~,  ~,  ~,  ~
Guadalupe,60557,19,31.4,41.9,24.7,65.9
McLennan,66038,18,27.3,41.2,23.7,66.1
Caldwell,22162,  ~,  ~,  ~,  ~,  ~
Gray,6408,  ~,  ~,  ~,  ~,  ~
Reeves,11365,  ~,  ~,  ~,  ~,  ~
Rusk,9072,  ~,  ~,  ~,  ~,  ~
Medina,26081,  ~,  ~,  ~,  ~,  ~
Tom Green,47233,  ~,  ~,  ~,  ~,  ~
Milam,6580,  ~,  ~,  ~,  ~,  ~
Hill,7338,  ~,  ~,  ~,  ~,  ~
Hardin,3319,  ~,  ~,  ~,  ~,  ~
Zavala,11235,  ~,  ~,  ~,  ~,  ~
Fort Bend,186814,51,27.3,37.4,27.0,50.2
Kendall,10561,  ~,  ~,  ~,  ~,  ~
Parmer,6098,  ~,  ~,  ~,  ~,  ~
Colorado,6327,  ~,  ~,  ~,  ~,  ~
Terry,6846,  ~,  ~,  ~,  ~,  ~
Midland,73829,18,24.4,35.0,20.1,56.7
Montgomery,137427,31,22.6,34.9,22.5,51.4
Atascosa,31673,  ~,  ~,  ~,  ~,  ~
Grimes,6693,  ~,  ~,  ~,  ~,  ~
Rockwall,17012,  ~,  ~,  ~,  ~,  ~
Fannin,3876,  ~,  ~,  ~,  ~,  ~
Wilbarger,3742,  ~,  ~,  ~,  ~,  ~
Freestone,3049,  ~,  ~,  ~,  ~,  ~
Burleson,3732,  ~,  ~,  ~,  ~,  ~
Orange,6580,  ~,  ~,  ~,  ~,  ~
Hood,7160,  ~,  ~,  ~,  ~,  ~
Wharton,17292,  ~,  ~,  ~,  ~,  ~
Winkler,4637,  ~,  ~,  ~,  ~,  ~
Hunt,15298,  ~,  ~,  ~,  ~,  ~
Jefferson,52453,  ~,  ~,  ~,  ~,  ~
Scurry,6944,  ~,  ~,  ~,  ~,  ~
Presidio,5886,  ~,  ~,  ~,  ~,  ~
Wood,4458,  ~,  ~,  ~,  ~,  ~
Ochiltree,5425,  ~,  ~,  ~,  ~,  ~
Van Zandt,5979,  ~,  ~,  ~,  ~,  ~
Pecos,10732,  ~,  ~,  ~,  ~,  ~
De Witt,7159,  ~,  ~,  ~,  ~,  ~
Angelina,19274,  ~,  ~,  ~,  ~,  ~
Castro,4948,  ~,  ~,  ~,  ~,  ~
Jones,5521,  ~,  ~,  ~,  ~,  ~
Limestone,5104,  ~,  ~,  ~,  ~,  ~
Cooke,7091,  ~,  ~,  ~,  ~,  ~
Willacy,18938,  ~,  ~,  ~,  ~,  ~
Jackson,4895,  ~,  ~,  ~,  ~,  ~
Bowie,7126,  ~,  ~,  ~,  ~,  ~
Walker,13090,  ~,  ~,  ~,  ~,  ~
Hale,20083,  ~,  ~,  ~,  ~,  ~
Nacogdoches,12597,  ~,  ~,  ~,  ~,  ~
Live Oak,4836,  ~,  ~,  ~,  ~,  ~
Bastrop,31876,  ~,  ~,  ~,  ~,  ~
Howard,15334,  ~,  ~,  ~,  ~,  ~
Jim Hogg,4817,  ~,  ~,  ~,  ~,  ~
Andrews,9888,  ~,  ~,  ~,  ~,  ~
Erath,8794,  ~,  ~,  ~,  ~,  ~
Brooks,6497,  ~,  ~,  ~,  ~,  ~
Palo Pinto,5619,0, 0.0, 0.0, 0.0, 0.0
Hemphill,1295,0, 0.0, 0.0, 0.0, 0.0
Haskell,1643,0, 0.0, 0.0, 0.0, 0.0
Hamilton,1053,0, 0.0, 0.0, 0.0, 0.0
Hartley,1489,0, 0.0, 0.0, 0.0, 0.0
Falls,3976,0, 0.0, 0.0, 0.0, 0.0
Reagan,2554,0, 0.0, 0.0, 0.0, 0.0
Hansford,2597,0, 0.0, 0.0, 0.0, 0.0
Sherman,1347,0, 0.0, 0.0, 0.0, 0.0
Robertson,3541,0, 0.0, 0.0, 0.0, 0.0
Hall,1059,0, 0.0, 0.0, 0.0, 0.0
Garza,3361,0, 0.0, 0.0, 0.0, 0.0
Lipscomb,1121,0, 0.0, 0.0, 0.0, 0.0
Schleicher,1586,0, 0.0, 0.0, 0.0, 0.0
Navarro,13208,0, 0.0, 0.0, 0.0, 0.0
Franklin,1563,0, 0.0, 0.0, 0.0, 0.0
Fayette,5276,0, 0.0, 0.0, 0.0, 0.0
Stephens,2224,0, 0.0, 0.0, 0.0, 0.0
Sutton,2371,0, 0.0, 0.0, 0.0, 0.0
Hutchinson,4946,0, 0.0, 0.0, 0.0, 0.0
Lee,4000,0, 0.0, 0.0, 0.0, 0.0
Morris,1227,0, 0.0, 0.0, 0.0, 0.0
Camp,3197,0, 0.0, 0.0, 0.0, 0.0
Edwards,1071,0, 0.0, 0.0, 0.0, 0.0
Young,3359,0, 0.0, 0.0, 0.0, 0.0
Trinity,1454,0, 0.0, 0.0, 0.0, 0.0
Crockett,2315,0, 0.0, 0.0, 0.0, 0.0
Collingsworth,1013,0, 0.0, 0.0, 0.0, 0.0
Upshur,3492,0, 0.0, 0.0, 0.0, 0.0
Waller,15321,0, 0.0, 0.0, 0.0, 0.0
Comanche,3792,0, 0.0, 0.0, 0.0, 0.0
Coleman,1479,0, 0.0, 0.0, 0.0, 0.0
Jack,1480,0, 0.0, 0.0, 0.0, 0.0
Bandera,4210,0, 0.0, 0.0, 0.0, 0.0
San Saba,1795,0, 0.0, 0.0, 0.0, 0.0
Titus,14071,0, 0.0, 0.0, 0.0, 0.0
Rains,1071,0, 0.0, 0.0, 0.0, 0.0
Leon,2482,0, 0.0, 0.0, 0.0, 0.0
Lamar,3805,0, 0.0, 0.0, 0.0, 0.0
Jasper,2404,0, 0.0, 0.0, 0.0, 0.0
Montague,2163,0, 0.0, 0.0, 0.0, 0.0
Anderson,10292,0, 0.0, 0.0, 0.0, 0.0
STATE,11098277,4061,36.6,49.7, 48.1,51.3

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 13, 2023."
"Cancer Incidence File, Apr 2022."
