Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, NH Black, 2019"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Hill,2422,  ~,  ~,  ~,  ~,  ~
Lavaca,1245,  ~,  ~,  ~,  ~,  ~
Burleson,2362,  ~,  ~,  ~,  ~,  ~
Robertson,3365,  ~,  ~,  ~,  ~,  ~
Lamar,6949,  ~,  ~,  ~,  ~,  ~
Ellis,21985,26,118.3,127.0,79.8,191.4
Ector,7880,  ~,  ~,  ~,  ~,  ~
Taylor,11253,  ~,  ~,  ~,  ~,  ~
Cass,5181,  ~,  ~,  ~,  ~,  ~
Johnson,7220,  ~,  ~,  ~,  ~,  ~
Polk,5132,  ~,  ~,  ~,  ~,  ~
Colorado,2587,  ~,  ~,  ~,  ~,  ~
Hardin,3332,  ~,  ~,  ~,  ~,  ~
San Augustine,1752,  ~,  ~,  ~,  ~,  ~
Galveston,44151,46,104.2,100.6,72.7,135.5
Hays,9682,  ~,  ~,  ~,  ~,  ~
Wharton,5327,  ~,  ~,  ~,  ~,  ~
Nacogdoches,11799,  ~,  ~,  ~,  ~,  ~
Austin,2715,  ~,  ~,  ~,  ~,  ~
Marion,2123,  ~,  ~,  ~,  ~,  ~
Washington,6168,  ~,  ~,  ~,  ~,  ~
Coryell,13723,  ~,  ~,  ~,  ~,  ~
Bastrop,6205,  ~,  ~,  ~,  ~,  ~
Victoria,5620,  ~,  ~,  ~,  ~,  ~
Collin,111859,77,68.8,82.5,62.7,106.6
Tarrant,369209,256,69.3,82.3,71.9,93.9
San Patricio,1143,  ~,  ~,  ~,  ~,  ~
Gonzales,1302,  ~,  ~,  ~,  ~,  ~
Angelina,13346,  ~,  ~,  ~,  ~,  ~
Brazoria,55304,38,68.7,80.1,54.6,113.0
Travis,108573,75,69.1,79.8,62.1,100.9
Dallas,611191,457,74.8,79.4,72.0,87.4
Fort Bend,169736,132,77.8,79.2,65.0,95.5
Harris,907406,661,72.8,78.8,72.7,85.3
Van Zandt,1737,  ~,  ~,  ~,  ~,  ~
Grayson,8802,  ~,  ~,  ~,  ~,  ~
McLennan,37373,28,74.9,74.8,49.1,109.4
Smith,41519,27,65.0,74.8,48.7,109.4
Lubbock,23140,  ~,  ~,  ~,  ~,  ~
Jasper,5870,  ~,  ~,  ~,  ~,  ~
Midland,11622,  ~,  ~,  ~,  ~,  ~
Anderson,12507,  ~,  ~,  ~,  ~,  ~
Freestone,3099,  ~,  ~,  ~,  ~,  ~
Hale,1719,  ~,  ~,  ~,  ~,  ~
Williamson,42466,25,58.9,66.5,40.3,103.4
Cooke,1538,  ~,  ~,  ~,  ~,  ~
Tom Green,4750,  ~,  ~,  ~,  ~,  ~
Bell,86350,41,47.5,62.8,43.5,87.6
Guadalupe,13885,  ~,  ~,  ~,  ~,  ~
Orange,7388,  ~,  ~,  ~,  ~,  ~
Shelby,4498,  ~,  ~,  ~,  ~,  ~
Henderson,5356,  ~,  ~,  ~,  ~,  ~
Houston,5730,  ~,  ~,  ~,  ~,  ~
Denton,97715,51,52.2,60.0,43.7,81.1
Hopkins,2818,  ~,  ~,  ~,  ~,  ~
Limestone,4087,  ~,  ~,  ~,  ~,  ~
Bowie,24236,16,66.0,56.4,31.8,93.5
Jefferson,85055,49,57.6,55.6,40.7,74.1
Nueces,13249,  ~,  ~,  ~,  ~,  ~
Brazos,25281,  ~,  ~,  ~,  ~,  ~
Navarro,6543,  ~,  ~,  ~,  ~,  ~
Rusk,9593,  ~,  ~,  ~,  ~,  ~
Grimes,4429,  ~,  ~,  ~,  ~,  ~
Panola,3664,  ~,  ~,  ~,  ~,  ~
Kaufman,18823,  ~,  ~,  ~,  ~,  ~
Bexar,154539,67,43.4,47.0,36.1,60.0
Chambers,3490,  ~,  ~,  ~,  ~,  ~
Falls,4092,  ~,  ~,  ~,  ~,  ~
Fayette,1559,  ~,  ~,  ~,  ~,  ~
Montgomery,34317,  ~,  ~,  ~,  ~,  ~
Harrison,13988,  ~,  ~,  ~,  ~,  ~
Comal,3930,  ~,  ~,  ~,  ~,  ~
Morris,2803,  ~,  ~,  ~,  ~,  ~
Walker,16750,  ~,  ~,  ~,  ~,  ~
Liberty,8321,  ~,  ~,  ~,  ~,  ~
Gregg,25991,  ~,  ~,  ~,  ~,  ~
Brown,1510,  ~,  ~,  ~,  ~,  ~
Camp,2182,  ~,  ~,  ~,  ~,  ~
Trinity,1341,  ~,  ~,  ~,  ~,  ~
San Jacinto,2759,  ~,  ~,  ~,  ~,  ~
Upshur,3437,  ~,  ~,  ~,  ~,  ~
Matagorda,3934,  ~,  ~,  ~,  ~,  ~
Randall,4907,  ~,  ~,  ~,  ~,  ~
Hunt,8104,  ~,  ~,  ~,  ~,  ~
Waller,13222,  ~,  ~,  ~,  ~,  ~
El Paso,27556,  ~,  ~,  ~,  ~,  ~
Potter,12435,  ~,  ~,  ~,  ~,  ~
Rockwall,7843,  ~,  ~,  ~,  ~,  ~
Milam,2220,  ~,  ~,  ~,  ~,  ~
Cherokee,7601,  ~,  ~,  ~,  ~,  ~
Red River,2014,  ~,  ~,  ~,  ~,  ~
Titus,3049,  ~,  ~,  ~,  ~,  ~
Wichita,14629,  ~,  ~,  ~,  ~,  ~
Gray,1230,0, 0.0, 0.0, 0.0, 0.0
Medina,1420,0, 0.0, 0.0, 0.0, 0.0
Madison,2837,0, 0.0, 0.0, 0.0, 0.0
Leon,1264,0, 0.0, 0.0, 0.0, 0.0
Lee,1873,0, 0.0, 0.0, 0.0, 0.0
Kleberg,1065,0, 0.0, 0.0, 0.0, 0.0
Jones,2424,0, 0.0, 0.0, 0.0, 0.0
Newton,2763,0, 0.0, 0.0, 0.0, 0.0
Howard,2312,0, 0.0, 0.0, 0.0, 0.0
Caldwell,2583,0, 0.0, 0.0, 0.0, 0.0
Fannin,2388,0, 0.0, 0.0, 0.0, 0.0
De Witt,1697,0, 0.0, 0.0, 0.0, 0.0
Cameron,1742,0, 0.0, 0.0, 0.0, 0.0
Bee,2768,0, 0.0, 0.0, 0.0, 0.0
Hidalgo,3932,0, 0.0, 0.0, 0.0, 0.0
Parker,2389,0, 0.0, 0.0, 0.0, 0.0
Karnes,1212,0, 0.0, 0.0, 0.0, 0.0
Tyler,2324,0, 0.0, 0.0, 0.0, 0.0
Wilbarger,1021,0, 0.0, 0.0, 0.0, 0.0
Wise,1095,0, 0.0, 0.0, 0.0, 0.0
Wood,2489,0, 0.0, 0.0, 0.0, 0.0
STATE,3624100,2433,67.1,73.2, 70.2,76.2

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 13, 2023."
"Cancer Incidence File, Apr 2022."
