Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, Hispanic, 2015 - 2019"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Blanco,11178,  ~,  ~,  ~,  ~,  ~
Lavaca,18865,  ~,  ~,  ~,  ~,  ~
Cass,6811,  ~,  ~,  ~,  ~,  ~
Eastland,14924,  ~,  ~,  ~,  ~,  ~
Wheeler,6955,  ~,  ~,  ~,  ~,  ~
Bailey,22403,  ~,  ~,  ~,  ~,  ~
Hill,36702,20,54.5,78.1,46.0,123.0
Refugio,17986,  ~,  ~,  ~,  ~,  ~
Gillespie,30807,16,51.9,73.1,40.5,119.9
Callahan,6678,  ~,  ~,  ~,  ~,  ~
Tyler,8289,  ~,  ~,  ~,  ~,  ~
Starr,307355,188,61.2,71.5,61.5,82.5
Mason,5302,  ~,  ~,  ~,  ~,  ~
Gregg,115192,36,31.2,71.1,46.6,102.7
Leon,12436,  ~,  ~,  ~,  ~,  ~
Kimble,5317,  ~,  ~,  ~,  ~,  ~
Mitchell,16783,  ~,  ~,  ~,  ~,  ~
Winkler,23887,  ~,  ~,  ~,  ~,  ~
Jim Hogg,24155,16,66.2,64.2,35.5,106.5
El Paso,3445706,2053,59.6,64.0,61.2,66.8
San Patricio,193614,112,57.9,64.0,52.5,77.1
San Jacinto,18498,  ~,  ~,  ~,  ~,  ~
Wise,63820,22,34.5,63.1,36.5,99.9
Ward,31210,17,54.5,63.0,36.2,101.4
Kleberg,112618,58,51.5,62.5,47.2,80.9
Matagorda,78101,38,48.6,62.3,43.5,86.1
Runnels,17568,  ~,  ~,  ~,  ~,  ~
Uvalde,96436,53,55.0,61.8,46.1,80.9
Williamson,670345,266,39.7,61.5,53.5,70.2
Hudspeth,17215,  ~,  ~,  ~,  ~,  ~
Duval,50191,36,71.7,60.3,41.8,84.3
Bosque,16789,  ~,  ~,  ~,  ~,  ~
Comal,194150,103,53.0,59.2,48.1,72.2
Coryell,69399,21,30.3,58.6,35.2,91.0
Maverick,275936,142,51.5,57.7,48.5,68.1
Gonzales,52663,25,47.5,57.5,36.8,85.4
Lubbock,539668,213,39.5,57.3,49.5,65.9
Hays,415234,148,35.6,56.8,47.4,67.5
Orange,32473,  ~,  ~,  ~,  ~,  ~
Kerr,69899,33,47.2,56.6,38.6,79.9
Zapata,67481,33,48.9,56.0,38.3,78.9
Collin,741509,267,36.0,55.9,48.3,64.2
Childress,11022,  ~,  ~,  ~,  ~,  ~
Randall,145277,45,31.0,55.4,38.5,76.7
Washington,28044,  ~,  ~,  ~,  ~,  ~
Pecos,54296,27,49.7,54.8,36.0,79.8
Jim Wells,164815,91,55.2,54.4,43.7,67.0
Moore,59972,26,43.4,54.3,34.9,80.7
Bell,435883,140,32.1,54.1,45.0,64.5
Nueces,1152574,582,50.5,53.6,49.2,58.2
Bexar,5881816,2676,45.5,53.6,51.5,55.7
Guadalupe,301625,133,44.1,53.0,44.2,63.1
Cameron,1888316,874,46.3,52.8,49.3,56.5
Val Verde,200769,97,48.3,52.8,42.8,64.5
Webb,1304987,545,41.8,52.6,48.3,57.3
Victoria,215482,96,44.5,52.6,42.5,64.4
Dallam,16582,  ~,  ~,  ~,  ~,  ~
Austin,39777,  ~,  ~,  ~,  ~,  ~
McLennan,329486,112,34.0,52.3,42.7,63.4
Taylor,167430,58,34.6,52.2,39.4,67.7
Travis,2066563,673,32.6,52.0,47.7,56.6
Nolan,28200,  ~,  ~,  ~,  ~,  ~
Freestone,15343,  ~,  ~,  ~,  ~,  ~
Coleman,7319,  ~,  ~,  ~,  ~,  ~
Caldwell,110067,44,40.0,50.1,36.0,67.7
Karnes,42558,18,42.3,50.0,29.4,79.2
Lynn,13709,  ~,  ~,  ~,  ~,  ~
Kaufman,132930,36,27.1,49.9,32.9,72.3
Kendall,52165,22,42.2,49.8,30.6,76.5
Denton,801230,253,31.6,49.6,42.9,57.0
Ector,487102,166,34.1,49.2,41.7,57.6
Hidalgo,3934835,1530,38.9,49.0,46.6,51.5
Wood,22235,  ~,  ~,  ~,  ~,  ~
Jackson,24397,  ~,  ~,  ~,  ~,  ~
Crosby,16282,  ~,  ~,  ~,  ~,  ~
Brazoria,551423,175,31.7,48.8,41.2,57.2
McCulloch,13019,  ~,  ~,  ~,  ~,  ~
Galveston,408946,155,37.9,48.4,40.8,56.9
Johnson,178676,53,29.7,48.4,34.9,64.9
Fort Bend,932476,330,35.4,48.3,42.8,54.3
Calhoun,52807,22,41.7,47.9,29.8,72.7
Dawson,37076,  ~,  ~,  ~,  ~,  ~
Brazos,284732,72,25.3,47.4,36.2,60.7
Henderson,51584,17,33.0,47.3,26.6,77.3
Dimmit,45345,22,48.5,47.1,29.2,71.9
Potter,229016,71,31.0,47.1,36.2,60.1
Trinity,7342,  ~,  ~,  ~,  ~,  ~
Llano,11001,  ~,  ~,  ~,  ~,  ~
Dallas,5206828,1523,29.2,46.0,43.4,48.6
Harris,9916150,3079,31.1,45.9,44.1,47.7
Medina,130208,59,45.3,45.8,34.7,59.4
Bastrop,159566,50,31.3,45.7,33.0,61.4
Tarrant,2937996,831,28.3,45.5,42.1,49.1
Reagan,12973,  ~,  ~,  ~,  ~,  ~
Yoakum,28519,  ~,  ~,  ~,  ~,  ~
Hall,5295,  ~,  ~,  ~,  ~,  ~
Castro,24591,  ~,  ~,  ~,  ~,  ~
Upton,9826,  ~,  ~,  ~,  ~,  ~
Bowie,35446,  ~,  ~,  ~,  ~,  ~
Colorado,31543,  ~,  ~,  ~,  ~,  ~
Aransas,33803,  ~,  ~,  ~,  ~,  ~
Liberty,103922,24,23.1,44.0,24.8,71.2
Atascosa,159461,67,42.0,44.0,33.9,56.1
Edwards,5292,  ~,  ~,  ~,  ~,  ~
Hockley,55247,  ~,  ~,  ~,  ~,  ~
Bee,96200,38,39.5,43.4,30.5,59.8
Wichita,126536,35,27.7,43.3,29.7,60.7
Ellis,227768,67,29.4,43.3,32.7,56.2
Wilson,97681,40,41.0,42.9,30.3,58.8
Jones,27403,  ~,  ~,  ~,  ~,  ~
Culberson,8052,  ~,  ~,  ~,  ~,  ~
Wharton,85876,29,33.8,42.3,28.0,61.2
Polk,37184,  ~,  ~,  ~,  ~,  ~
Brooks,32504,  ~,  ~,  ~,  ~,  ~
Gaines,42737,  ~,  ~,  ~,  ~,  ~
Brown,41979,  ~,  ~,  ~,  ~,  ~
Tom Green,236874,80,33.8,41.7,32.9,52.1
Reeves,57655,22,38.2,41.0,25.6,62.1
Smith,220735,49,22.2,41.0,29.3,55.5
Cherokee,60204,  ~,  ~,  ~,  ~,  ~
Van Zandt,30080,  ~,  ~,  ~,  ~,  ~
Montgomery,687432,166,24.1,40.5,33.7,48.2
Kinney,10954,  ~,  ~,  ~,  ~,  ~
Hood,35953,  ~,  ~,  ~,  ~,  ~
Rusk,44902,  ~,  ~,  ~,  ~,  ~
Hardin,16451,  ~,  ~,  ~,  ~,  ~
Parker,82700,23,27.8,39.1,24.2,60.1
Knox,6389,  ~,  ~,  ~,  ~,  ~
Gray,32518,  ~,  ~,  ~,  ~,  ~
La Salle,32619,  ~,  ~,  ~,  ~,  ~
Terry,34346,  ~,  ~,  ~,  ~,  ~
Cooke,35821,  ~,  ~,  ~,  ~,  ~
Hansford,13094,  ~,  ~,  ~,  ~,  ~
De Witt,35823,  ~,  ~,  ~,  ~,  ~
Grayson,87197,19,21.8,36.0,20.7,58.2
San Saba,9018,  ~,  ~,  ~,  ~,  ~
Midland,375220,92,24.5,35.9,28.5,44.5
Sutton,12000,  ~,  ~,  ~,  ~,  ~
Rockwall,85570,20,23.4,35.1,20.4,56.6
Jefferson,261617,65,24.9,35.0,26.5,45.3
Chambers,46196,  ~,  ~,  ~,  ~,  ~
Milam,32710,  ~,  ~,  ~,  ~,  ~
