Year,LocationAbbr,LocationDesc,Topic,Question,DataValueType,DataValue,StratificationCategory1,Stratification1
2014,AK,Alaska,Breast Cancer,incidence,Average Annual Number,11,Race,Hispanic
2018,AK,Alaska,Breast Cancer,incidence,Average Annual Number,435,Gender,Female
2013,AL,Alabama,Breast Cancer,incidence,Average Annual Number,23,Race,Hispanic
2014,AL,Alabama,Breast Cancer,incidence,Average Annual Number,3579,Gender,Female
2017,AL,Alabama,Breast Cancer,incidence,Average Annual Number,31,Race,Hispanic
2016,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,46,Race,Hispanic
2019,AR,Arkansas,Breast Cancer,incidence,Average Annual Number,2314,Gender,Female
2016,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,4670,Gender,Female
2019,AZ,Arizona,Breast Cancer,incidence,Average Annual Number,5017,Overall,Overall
2019,CA,California,Breast Cancer,incidence,Average Annual Number,27224,Overall,Overall
2019,DC,District of Columbia,Breast Cancer,incidence,Average Annual Number,494,Gender,Female
2012,FL,Florida,Breast Cancer,incidence,Average Annual Number,14763,Gender,Female
2013,FL,Florida,Breast Cancer,incidence,Average Annual Number,15093,Overall,Overall
2016,FL,Florida,Breast Cancer,incidence,Average Annual Number,16467,Gender,Female
2018,FL,Florida,Breast Cancer,incidence,Average Annual Number,2953,Race,Hispanic
2013,GA,Georgia,Breast Cancer,incidence,Average Annual Number,6607,Gender,Female
2013,GA,Georgia,Breast Cancer,incidence,Average Annual Number,156,Race,Hispanic
2015,GA,Georgia,Breast Cancer,incidence,Average Annual Number,204,Race,Hispanic
2018,GA,Georgia,Breast Cancer,incidence,Average Annual Number,272,Race,Hispanic
2013,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,10,Race,Black
2017,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,282,Race,White
2019,HI,Hawaii,Breast Cancer,incidence,Average Annual Number,70,Race,Hispanic
2018,IL,Illinois,Breast Cancer,incidence,Average Annual Number,10403,Gender,Female
2012,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4520,Gender,Female
2013,IN,Indiana,Breast Cancer,incidence,Average Annual Number,372,Race,Black
2016,IN,Indiana,Breast Cancer,incidence,Average Annual Number,4883,Gender,Female
2017,IN,Indiana,Breast Cancer,incidence,Average Annual Number,407,Race,Black
2019,IN,Indiana,Breast Cancer,incidence,Average Annual Number,5093,Overall,Overall
2013,KS,Kansas,Breast Cancer,incidence,Average Annual Number,65,Race,Hispanic
2016,KS,Kansas,Breast Cancer,incidence,Average Annual Number,2139,Gender,Female
2018,KS,Kansas,Breast Cancer,incidence,Average Annual Number,2255,Gender,Female
2019,KS,Kansas,Breast Cancer,incidence,Average Annual Number,98,Race,Hispanic
2012,MD,Maryland,Breast Cancer,incidence,Average Annual Number,4493,Gender,Female
2015,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7667,Gender,Female
2016,MI,Michigan,Breast Cancer,incidence,Average Annual Number,7772,Overall,Overall
2012,MO,Missouri,Breast Cancer,incidence,Average Annual Number,47,Race,Hispanic
2017,MT,Montana,Breast Cancer,incidence,Average Annual Number,790,Race,White
2014,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,1319,Overall,Overall
2015,NE,Nebraska,Breast Cancer,incidence,Average Annual Number,42,Race,Black
2012,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,7020,Gender,Female
2014,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,677,Race,Hispanic
2019,NJ,New Jersey,Breast Cancer,incidence,Average Annual Number,875,Race,Hispanic
2019,NM,New Mexico,Breast Cancer,incidence,Average Annual Number,537,Race,Hispanic
2015,NV,Nevada,Breast Cancer,incidence,Average Annual Number,203,Race,Hispanic
2017,NV,Nevada,Breast Cancer,incidence,Average Annual Number,1917,Gender,Female
2018,NV,Nevada,Breast Cancer,incidence,Average Annual Number,1072,Race,White
2014,NY,New York,Breast Cancer,incidence,Average Annual Number,2067,Race,Black
2018,NY,New York,Breast Cancer,incidence,Average Annual Number,16522,Gender,Female
2017,OK,Oklahoma,Breast Cancer,incidence,Average Annual Number,2842,Gender,Female
2019,OK,Oklahoma,Breast Cancer,incidence,Average Annual Number,2932,Overall,Overall
2016,OR,Oregon,Breast Cancer,incidence,Average Annual Number,2895,Race,White
2019,SC,South Carolina,Breast Cancer,incidence,Average Annual Number,4320,Overall,Overall
2012,VA,Virginia,Breast Cancer,incidence,Average Annual Number,5810,Gender,Female
2017,VA,Virginia,Breast Cancer,incidence,Average Annual Number,6443,Gender,Female
2016,VT,Vermont,Breast Cancer,incidence,Average Annual Number,540,Race,White
2012,WV,West Virginia,Breast Cancer,incidence,Average Annual Number,1391,Overall,Overall
2014,AK,Alaska,Breast Cancer,mortality,Average Annual Number,46,Race,White
2015,AK,Alaska,Breast Cancer,mortality,Average Annual Number,62,Overall,Overall
