state,Year,total_population,unemployed_rate
Alabama,2015,3807670,6.1
Alabama,2016,3825968,5.7
Alabama,2017,3900414,4
Alabama,2018,3923367,3.8
Alabama,2019,3948677,3.1
Alaska,2015,544288,6.4
Alaska,2016,547590,6.7
Alaska,2017,546318,6.4
Alaska,2018,545405,6
Alaska,2019,544765,5.3
Arizona,2015,5325671,5.8
Arizona,2016,5434795,5.3
Arizona,2017,5384434,4.9
Arizona,2018,5481828,5
Arizona,2019,5591724,4.7
Arkansas,2015,2305251,4.3
Arkansas,2016,2318409,3.8
Arkansas,2017,2317188,3.8
Arkansas,2018,2325928,3.7
Arkansas,2019,2336888,3.5
California,2015,30422273,5.7
California,2016,30688153,5.4
California,2017,30891323,4.5
California,2018,31020205,4.3
California,2019,31097199,4.2
Colorado,2015,4275910,3.3
Colorado,2016,4359555,2.7
Colorado,2017,4411950,2.8
Colorado,2018,4484765,3.1
Colorado,2019,4549990,2.8
Connecticut,2015,2873797,5.3
Connecticut,2016,2877085,4.6
Connecticut,2017,2906004,4.3
Connecticut,2018,2912665,3.7
Connecticut,2019,2915958,3.8
Delaware,2015,749992,4.6
Delaware,2016,758249,4.7
Delaware,2017,768214,4.2
Delaware,2018,777512,3.5
Delaware,2019,787914,3.6
District of Columbia,2015,561133,6.5
District of Columbia,2016,568481,6.3
District of Columbia,2017,560021,5.9
District of Columbia,2018,562562,5.8
District of Columbia,2019,564017,5.3
Florida,2015,16428472,5.1
Florida,2016,16773010,4.8
Florida,2017,16940944,4
Florida,2018,17165107,3.5
Florida,2019,17381899,3
Georgia,2015,7817713,5.7
Georgia,2016,7939421,5.3
Georgia,2017,8043359,4.4
Georgia,2018,8147736,3.9
Georgia,2019,8252522,3.5
Hawaii,2015,1089802,3.1
Hawaii,2016,1095214,2.7
Hawaii,2017,1122876,1.9
Hawaii,2018,1124782,2.8
Hawaii,2019,1124772,2.3
Idaho,2015,1258579,3.8
Idaho,2016,1288749,3.5
Idaho,2017,1329268,3.1
Idaho,2018,1362361,3
Idaho,2019,1399350,2.8
Illinois,2015,10051892,6.1
Illinois,2016,10047713,5.4
Illinois,2017,10141419,4.7
Illinois,2018,10133452,4.6
Illinois,2019,10122415,3.6
