Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, 2015 - 2019"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Armstrong,9317,  ~,  ~,  ~,  ~,  ~
Cottle,6968,  ~,  ~,  ~,  ~,  ~
Irion,7759,  ~,  ~,  ~,  ~,  ~
Mills,24433,30,122.8,86.8,55.0,131.7
Blanco,57426,69,120.2,79.5,59.8,104.3
Williamson,2742060,2151,78.4,78.3,75.0,81.8
Lipscomb,16949,  ~,  ~,  ~,  ~,  ~
Polk,244396,261,106.8,77.2,67.4,88.1
Menard,10549,  ~,  ~,  ~,  ~,  ~
Gregg,617825,504,81.6,73.3,66.9,80.2
Parker,669726,587,87.7,73.1,67.1,79.5
Lamar,248017,224,90.3,72.0,62.5,82.7
Taylor,684615,499,72.9,70.4,64.2,77.1
Starr,319301,194,60.8,70.3,60.7,80.9
Collin,4873135,3443,70.7,70.1,67.7,72.5
Fisher,19227,18,93.6,69.7,38.7,116.7
Denton,4167927,2809,67.4,69.4,66.8,72.2
Smith,1137566,915,80.4,69.3,64.8,74.1
Tarrant,10248083,6865,67.0,68.7,67.1,70.4
Kaufman,619847,429,69.2,68.7,62.2,75.7
Hays,1067360,677,63.4,68.5,63.2,74.0
Ellis,868991,622,71.6,68.1,62.7,73.8
Kerr,258975,260,100.4,68.1,58.9,78.3
Travis,6133919,3764,61.4,67.8,65.5,70.1
Ward,58256,42,72.1,67.4,48.2,91.8
Palo Pinto,142605,132,92.6,67.0,55.4,80.4
San Patricio,334899,248,74.0,66.9,58.7,76.0
Hill,178378,161,90.3,66.9,56.4,79.0
Comal,708664,607,85.7,66.8,61.4,72.7
Childress,36128,25,69.2,66.8,42.5,99.9
Dallas,13034895,8132,62.4,66.7,65.2,68.2
Bastrop,422702,328,77.6,66.4,59.1,74.4
Henderson,405561,388,95.7,66.1,59.3,73.6
Yoakum,42994,26,60.5,66.1,42.7,97.5
Rockwall,486247,341,70.1,65.9,59.0,73.5
Hardeman,19700,17,86.3,65.8,36.4,110.6
Lavaca,100063,97,96.9,65.7,52.4,81.7
Hutchinson,106644,81,76.0,65.5,51.4,82.2
Aransas,122096,129,105.7,65.3,52.9,80.1
Gonzales,103686,76,73.3,65.2,50.9,82.4
Chambers,206288,137,66.4,65.1,54.3,77.3
Randall,670591,479,71.4,64.8,59.0,71.0
Fort Bend,3830013,2481,64.8,64.7,62.0,67.4
Tom Green,590789,416,70.4,64.6,58.3,71.4
Winkler,39253,24,61.1,64.5,41.0,96.4
Johnson,836567,595,71.1,64.4,59.2,70.0
Bell,1745009,997,57.1,64.3,60.3,68.5
Clay,52031,48,92.2,64.2,46.2,87.8
McLennan,1255966,848,67.5,64.1,59.8,68.7
Stonewall,6859,  ~,  ~,  ~,  ~,  ~
Runnels,51384,47,91.5,63.8,46.4,86.4
Burleson,90283,82,90.8,63.8,49.9,80.5
Limestone,116915,102,87.2,63.6,51.3,78.1
Galveston,1663983,1194,71.8,63.5,59.9,67.4
Lubbock,1525695,914,59.9,63.5,59.4,67.8
Hood,291846,290,99.4,63.3,55.6,71.9
Uvalde,134702,89,66.1,63.1,50.2,78.1
Guadalupe,795151,549,69.0,63.0,57.8,68.6
Wood,222120,226,101.8,63.0,54.1,73.1
Orange,420027,308,73.3,62.5,55.5,70.1
Cass,150270,129,85.8,62.4,51.5,75.1
Victoria,460414,316,68.6,62.3,55.4,69.9
Bexar,9762120,5907,60.5,62.1,60.5,63.7
Kleberg,154691,88,56.9,62.1,49.5,76.8
Somervell,44272,37,83.6,62.1,42.9,87.6
El Paso,4174672,2478,59.4,61.9,59.5,64.4
Lynn,29151,22,75.5,61.9,38.0,95.8
Bowie,467773,345,73.8,61.8,55.3,68.9
Grimes,139925,103,73.6,61.8,49.9,75.8
Morris,61752,51,82.6,61.8,44.8,83.4
Stephens,46832,39,83.3,61.7,43.0,86.3
Hopkins,182342,135,74.0,61.6,51.2,73.5
Washington,175423,142,81.0,61.5,51.0,73.5
Gillespie,132291,138,104.3,61.3,50.2,74.5
Wheeler,26654,21,78.8,61.1,36.7,96.4
Grayson,654989,502,76.6,61.0,55.6,66.8
Archer,43800,39,89.0,61.0,42.3,85.9
Matagorda,183976,133,72.3,60.9,50.5,72.8
Hamilton,41699,39,93.5,60.9,41.6,86.8
Upshur,205108,158,77.0,60.7,51.1,71.6
Harris,23221349,13038,56.1,60.6,59.6,61.7
Milam,123640,102,82.5,60.6,48.8,74.5
Wise,331150,231,69.8,60.5,52.7,69.2
Harrison,333060,239,71.8,60.5,52.8,69.0
Foard,5955,  ~,  ~,  ~,  ~,  ~
Goliad,37782,34,90.0,60.2,40.3,87.6
Hudspeth,22065,  ~,  ~,  ~,  ~,  ~
Rusk,268513,195,72.6,59.9,51.6,69.3
Comanche,67625,57,84.3,59.8,44.0,79.9
Hansford,27530,16,58.1,59.6,33.5,97.5
Ector,802493,405,50.5,59.5,53.7,65.7
Nueces,1808192,1163,64.3,59.4,56.0,63.0
Caldwell,210491,137,65.1,59.4,49.6,70.5
Brazoria,1805086,1081,59.9,59.1,55.6,62.8
Maverick,289754,153,52.8,58.8,49.8,69.0
Marion,50125,48,95.8,58.8,42.3,80.8
Austin,148963,112,75.2,58.5,47.5,71.3
Jackson,74062,53,71.6,58.3,43.2,77.3
Fayette,125612,104,82.8,58.2,46.5,72.2
Kendall,218892,174,79.5,58.1,49.5,68.0
Jim Hogg,26047,16,61.4,58.1,32.1,96.6
Brazos,1115634,483,43.3,58.1,52.9,63.6
Van Zandt,275748,226,82.0,58.0,50.3,66.5
Cooke,199924,147,73.5,57.9,48.5,68.7
Liberty,418853,258,61.6,57.8,50.8,65.6
Montgomery,2860503,1760,61.5,57.8,55.1,60.7
Wharton,208043,145,69.7,57.8,48.4,68.5
Cherokee,260396,179,68.7,57.8,49.4,67.3
Hockley,115300,72,62.5,57.7,44.9,73.2
Refugio,35529,28,78.8,57.5,36.8,86.4
Lee,85332,61,71.5,57.4,43.2,74.9
Duval,56226,39,69.4,56.9,40.2,78.7
Potter,596824,337,56.5,56.9,50.8,63.4
De Witt,101541,72,70.9,56.8,43.8,72.5
Hardin,284242,196,69.0,56.7,48.7,65.5
Wichita,658617,404,61.3,56.6,51.1,62.6
Jack,44271,30,67.8,56.6,37.8,81.9
Franklin,53612,40,74.6,56.5,38.9,79.7
Delta,26191,23,87.8,56.4,34.8,88.3
Moore,106902,55,51.5,56.4,42.3,73.6
Coryell,377386,180,47.7,56.3,48.3,65.2
Anderson,289446,191,66.0,56.3,48.5,65.0
Nolan,74800,49,65.5,56.1,40.9,75.3
Jefferson,1270670,785,61.8,56.1,52.2,60.3
Trinity,73103,59,80.7,55.6,40.5,74.8
Midland,840707,423,50.3,55.5,50.2,61.2
Burnet,232823,188,80.8,55.5,47.3,64.8
Medina,250404,174,69.5,55.5,47.3,64.7
Val Verde,244921,130,53.1,55.4,46.1,65.9
Deaf Smith,93629,49,52.3,55.4,40.7,73.5
Freestone,98593,75,76.1,55.4,43.2,70.2
Ochiltree,50629,27,53.3,55.2,36.1,80.9
Colorado,106122,81,76.3,55.2,42.9,70.2
Angelina,436636,276,63.2,54.8,48.3,61.8
Lamb,65649,42,64.0,54.7,39.0,74.8
Gray,111919,71,63.4,54.6,42.4,69.3
Montague,97493,75,76.9,54.5,42.0,69.8
Brown,189121,138,73.0,54.4,45.4,64.9
Jim Wells,205070,122,59.5,54.2,44.8,65.0
Sterling,6553,  ~,  ~,  ~,  ~,  ~
Bee,163153,90,55.2,54.1,43.4,66.7
San Jacinto,140943,101,71.7,53.9,43.0,66.9
Zapata,71517,36,50.3,53.9,37.6,74.8
Pecos,78930,44,55.8,53.8,38.9,72.4
McCulloch,40279,32,79.5,53.6,35.8,78.2
Bosque,91396,72,78.8,53.2,40.5,69.1
Terry,62620,34,54.3,53.1,36.2,75.1
Jasper,177703,122,68.7,53.0,43.5,64.1
Waller,259340,129,49.7,53.0,44.0,63.3
Madison,71172,42,59.0,52.9,37.9,72.0
Bailey,35104,19,54.1,52.7,31.3,83.2
Cameron,2105557,1067,50.7,52.5,49.4,55.8
Coke,16386,  ~,  ~,  ~,  ~,  ~
Culberson,11017,  ~,  ~,  ~,  ~,  ~
Walker,360137,192,53.3,52.3,45.1,60.4
Erath,209106,107,51.2,52.0,42.3,63.2
Mason,20957,19,90.7,51.9,29.4,88.3
Wilbarger,64093,42,65.5,51.9,36.7,71.4
