Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, NH White, 2015 - 2019"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Armstrong,8315,  ~,  ~,  ~,  ~,  ~
Maverick,8017,  ~,  ~,  ~,  ~,  ~
Irion,5527,  ~,  ~,  ~,  ~,  ~
Lipscomb,10697,  ~,  ~,  ~,  ~,  ~
Menard,6451,  ~,  ~,  ~,  ~,  ~
Mills,19510,28,143.5,93.5,56.7,147.4
Fisher,12877,16,124.2,93.2,48.3,164.2
Williamson,1664754,1678,100.8,84.8,80.7,89.1
Hansford,13995,  ~,  ~,  ~,  ~,  ~
Yoakum,13575,17,125.2,82.2,45.4,140.2
Stonewall,5240,  ~,  ~,  ~,  ~,  ~
Deaf Smith,23609,31,131.3,80.8,51.7,122.6
Polk,175330,223,127.2,79.3,68.2,91.9
Gonzales,43633,48,110.0,78.5,55.2,108.8
Fort Bend,1300440,1188,91.3,76.8,72.3,81.5
Parker,565966,557,98.4,76.7,70.3,83.7
Bexar,2791644,2686,96.2,76.3,73.3,79.4
Gregg,361658,379,104.8,76.2,68.3,84.8
Dallas,3907952,4088,104.6,76.1,73.7,78.6
Travis,3079902,2588,84.0,75.8,72.8,78.9
Tarrant,4918552,4620,93.9,75.1,72.8,77.3
Aransas,83146,115,138.3,74.3,58.1,94.4
Denton,2521451,2139,84.8,74.2,71.0,77.6
Grimes,83203,80,96.2,74.0,57.2,94.4
Collin,2837305,2483,87.5,73.9,70.9,76.9
Taylor,443081,405,91.4,73.9,66.5,81.9
Tom Green,319100,318,99.7,73.8,65.3,83.0
Terry,25058,23,91.8,73.3,42.6,117.1
Childress,20674,20,96.7,73.2,43.4,117.0
Val Verde,38116,33,86.6,72.9,48.2,106.0
Hutchinson,76358,73,95.6,72.6,55.9,93.1
Hays,585939,494,84.3,72.5,66.0,79.5
Lamb,26095,29,111.1,72.4,45.4,110.9
Blanco,44638,55,123.2,72.2,51.1,100.3
Chambers,139657,116,83.1,72.1,59.2,87.1
Rockwall,349259,297,85.0,71.9,63.8,80.8
Kaufman,400501,339,84.6,71.7,64.1,80.0
San Patricio,130453,130,99.7,71.4,59.1,85.8
Uvalde,35752,36,100.7,71.0,47.2,103.4
Nueces,543621,531,97.7,70.7,64.4,77.5
Bee,51776,52,100.4,70.6,52.4,94.1
Burleson,59258,67,113.1,70.3,52.8,92.5
Ward,23772,24,101.0,70.2,44.4,107.4
Bastrop,226650,237,104.6,70.1,60.7,80.7
Smith,690193,689,99.8,70.1,64.6,75.9
Guadalupe,410288,364,88.7,69.7,62.5,77.6
Palo Pinto,108414,120,110.7,69.7,56.8,85.1
Lynn,14557,  ~,  ~,  ~,  ~,  ~
Lee,54900,53,96.5,69.0,50.2,93.1
Limestone,69553,82,117.9,69.0,53.6,88.1
Comal,485543,485,99.9,69.0,62.5,76.0
Caldwell,84906,83,97.8,68.8,54.0,87.0
Goliad,22201,28,126.1,68.7,43.2,107.2
Ellis,536013,464,86.6,68.5,62.2,75.3
Lamar,188492,180,95.5,68.5,58.1,80.2
Harris,7087372,6146,86.7,68.3,66.5,70.1
Clay,47267,47,99.4,68.2,48.5,94.0
Kerr,180372,221,122.5,68.2,57.7,80.3
Henderson,321853,348,108.1,67.9,60.3,76.3
Hockley,54523,54,99.0,67.7,49.9,90.6
Comanche,47479,53,111.6,67.5,47.9,93.4
Ochiltree,22183,22,99.2,67.3,40.4,107.1
Bell,822353,611,74.3,67.1,61.7,72.8
Somervell,34783,35,100.6,67.1,45.3,96.9
Victoria,209130,194,92.8,67.0,57.2,78.1
Randall,487024,416,85.4,66.9,60.3,74.0
Lubbock,828208,634,76.5,66.8,61.5,72.5
Hardeman,13682,  ~,  ~,  ~,  ~,  ~
Johnson,611641,511,83.5,66.4,60.6,72.7
Coke,12471,  ~,  ~,  ~,  ~,  ~
Winkler,14024,  ~,  ~,  ~,  ~,  ~
Franklin,42789,40,93.5,66.2,44.8,94.8
Hopkins,135554,120,88.5,66.0,53.9,80.0
Midland,388640,295,75.9,65.7,58.0,74.1
De Witt,56215,53,94.3,65.3,47.0,88.9
Jackson,43847,41,93.5,65.2,45.6,91.2
Milam,78075,83,106.3,65.1,50.6,82.9
Live Oak,33037,33,99.9,64.9,42.5,96.4
Hood,248438,277,111.5,64.9,56.7,74.1
Brazoria,868812,701,80.7,64.8,59.9,70.0
Morris,40530,39,96.2,64.8,44.3,92.4
Galveston,970757,816,84.1,64.5,60.0,69.4
McLennan,715003,591,82.7,64.3,58.9,70.0
Bowie,303330,264,87.0,64.2,56.3,72.9
Jack,34435,30,87.1,64.1,42.4,94.0
Hale,58104,56,96.4,63.9,47.5,84.9
Wilbarger,37748,37,98.0,63.9,43.6,91.6
Upshur,167718,142,84.7,63.9,53.1,76.3
Kleberg,32335,28,86.6,63.6,41.2,94.9
Stephens,33647,34,101.0,63.5,42.2,93.1
Orange,342805,272,79.3,63.5,55.9,71.8
Runnels,31915,34,106.5,63.4,42.8,92.4
Hill,127653,128,100.3,63.4,51.9,76.9
Medina,110740,112,101.1,63.2,51.3,77.6
Haskell,18812,19,101.0,63.2,35.2,107.6
Garza,12937,  ~,  ~,  ~,  ~,  ~
Fayette,90263,95,105.2,63.0,49.1,80.3
Potter,268330,231,86.1,63.0,54.8,72.2
Ector,264650,209,79.0,63.0,54.3,72.6
Wood,185134,206,111.3,62.9,53.4,73.8
Anderson,172614,161,93.3,62.7,53.2,73.7
Archer,39125,37,94.6,62.3,42.5,89.2
Floyd,10872,  ~,  ~,  ~,  ~,  ~
Rusk,173538,147,84.7,61.8,51.7,73.4
Delta,21590,22,101.9,61.6,37.2,98.7
Hamilton,35450,37,104.4,61.6,41.2,89.9
Grayson,505205,439,86.9,61.4,55.5,67.9
Lavaca,74158,78,105.2,61.3,47.5,78.6
Wise,257617,205,79.6,61.0,52.6,70.5
Kendall,160353,151,94.2,61.0,51.1,72.5
Montgomery,1920124,1465,76.3,61.0,57.8,64.3
Austin,94068,90,95.7,60.7,47.5,76.9
Brazos,633591,332,52.4,60.7,54.1,67.9
Martin,14154,  ~,  ~,  ~,  ~,  ~
Wharton,93438,90,96.3,60.6,47.8,76.2
Cass,115908,104,89.7,60.5,48.7,74.6
Cherokee,160264,142,88.6,60.3,50.0,72.2
Jefferson,522841,444,84.9,60.2,54.4,66.5
Harrison,214771,177,82.4,60.2,51.3,70.3
Gillespie,99585,122,122.5,60.0,48.0,74.8
Washington,113323,108,95.3,59.8,47.5,74.5
Jim Wells,37180,30,80.7,59.7,38.8,88.6
Burnet,173299,174,100.4,59.7,50.1,70.9
Van Zandt,233722,213,91.1,59.7,51.5,68.9
Matagorda,81996,76,92.7,59.6,45.5,77.1
Walker,205337,148,72.1,58.8,49.4,69.6
Liberty,268511,197,73.4,58.8,50.6,68.0
Angelina,267849,215,80.3,58.7,50.7,67.7
Wichita,438676,328,74.8,58.6,52.1,65.7
Nolan,42054,33,78.5,58.5,38.4,85.6
Atascosa,83902,71,84.6,58.4,45.0,75.0
Marion,36118,35,96.9,58.2,39.0,85.4
El Paso,520522,365,70.1,58.1,52.1,64.7
Navarro,139354,132,94.7,58.1,48.0,70.0
Pecos,20309,16,78.8,58.0,32.7,97.8
