Cancer Mortality Rates by County in Texas
"Breast Male and Female, NH American Indian/Alaska Native, 2015 - 2019"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Wichita,5625,  ~,  ~,  ~,  ~,  ~
Fort Bend,9663,  ~,  ~,  ~,  ~,  ~
Bell,9245,  ~,  ~,  ~,  ~,  ~
El Paso,12891,  ~,  ~,  ~,  ~,  ~
Dallas,45190,  ~,  ~,  ~,  ~,  ~
Williamson,10043,  ~,  ~,  ~,  ~,  ~
Harris,55454,  ~,  ~,  ~,  ~,  ~
Bexar,27904,  ~,  ~,  ~,  ~,  ~
Parker,5264,0, 0.0, 0.0, 0.0, 0.0
Brazoria,7121,0, 0.0, 0.0, 0.0, 0.0
Travis,18002,0, 0.0, 0.0, 0.0, 0.0
Tarrant,45403,0, 0.0, 0.0, 0.0, 0.0
Collin,22337,0, 0.0, 0.0, 0.0, 0.0
Montgomery,11914,0, 0.0, 0.0, 0.0, 0.0
Lubbock,6439,0, 0.0, 0.0, 0.0, 0.0
Galveston,6791,0, 0.0, 0.0, 0.0, 0.0
Denton,21230,0, 0.0, 0.0, 0.0, 0.0
Grayson,9924,0, 0.0, 0.0, 0.0, 0.0
STATE,524015,20, 3.8, 3.8,  2.3, 6.0

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 20, 2023."
"Cancer Incidence File, Apr 2022."
