Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, NH Black, 2015 - 2019"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Cooke,7096,  ~,  ~,  ~,  ~,  ~
Wood,12125,  ~,  ~,  ~,  ~,  ~
Lamar,34229,34,99.3,101.3,69.2,143.1
Hill,12095,  ~,  ~,  ~,  ~,  ~
Bastrop,30557,34,111.3,97.9,67.1,138.5
Ellis,92719,84,90.6,94.6,74.3,118.6
Gray,5931,  ~,  ~,  ~,  ~,  ~
Lavaca,6273,  ~,  ~,  ~,  ~,  ~
Ector,36809,26,70.6,91.4,58.7,134.7
Wharton,27223,26,95.5,88.0,55.8,131.9
Smith,202787,166,81.9,86.3,73.3,100.9
Randall,22421,  ~,  ~,  ~,  ~,  ~
Grayson,42150,31,73.5,83.8,56.2,119.8
Milam,11349,  ~,  ~,  ~,  ~,  ~
Johnson,29733,21,70.6,80.5,48.2,126.3
Washington,30615,24,78.4,79.9,50.0,121.0
Galveston,217295,179,82.4,79.0,67.5,91.9
Collin,496083,310,62.5,78.5,68.2,89.8
Henderson,26397,23,87.1,77.8,48.6,118.7
Dallas,3003570,2126,70.8,76.7,73.3,80.2
Polk,25452,21,82.5,76.5,46.4,120.2
Williamson,188086,110,58.5,75.2,59.7,93.3
Tarrant,1732019,1069,61.7,75.1,70.4,80.1
Denton,429952,231,53.7,74.9,63.6,87.7
Colorado,13088,  ~,  ~,  ~,  ~,  ~
Waller,64688,24,37.1,74.0,46.4,111.3
McLennan,184055,126,68.5,73.2,60.6,87.7
Grimes,21938,17,77.5,72.0,40.8,118.2
Brazos,121358,64,52.7,72.0,54.7,92.8
Harris,4433618,2859,64.5,71.7,69.0,74.5
Gregg,128749,85,66.0,71.3,56.5,88.8
Fort Bend,788896,556,70.5,71.2,64.9,78.1
Hays,43123,21,48.7,70.9,41.9,111.9
Bell,405710,206,50.8,70.1,60.0,81.4
Kaufman,74190,48,64.7,70.0,50.6,94.2
Cass,25991,21,80.8,69.9,42.0,109.6
San Jacinto,13907,  ~,  ~,  ~,  ~,  ~
Marion,10980,  ~,  ~,  ~,  ~,  ~
Brazoria,252234,154,61.0,68.7,57.2,81.8
Harrison,70704,53,75.0,68.7,50.7,90.9
Liberty,41444,32,77.2,68.3,46.0,98.0
Travis,519567,306,58.9,67.8,60.1,76.3
Burleson,11628,  ~,  ~,  ~,  ~,  ~
De Witt,8871,  ~,  ~,  ~,  ~,  ~
Taylor,54265,25,46.1,66.5,42.2,99.1
Hale,8762,  ~,  ~,  ~,  ~,  ~
Victoria,28209,19,67.3,65.0,38.1,103.4
Lubbock,112953,57,50.5,62.6,46.9,81.7
Rockwall,32704,18,55.0,62.4,33.2,106.6
Guadalupe,62663,39,62.2,61.8,43.3,85.7
Matagorda,19809,  ~,  ~,  ~,  ~,  ~
Orange,37153,23,61.9,60.9,38.2,92.3
Limestone,20581,  ~,  ~,  ~,  ~,  ~
Cherokee,37671,23,61.0,60.6,37.6,92.5
Tom Green,23762,  ~,  ~,  ~,  ~,  ~
Falls,20657,  ~,  ~,  ~,  ~,  ~
Bowie,119118,68,57.1,58.6,45.1,74.8
Houston,28982,20,69.0,58.4,35.3,91.7
Jasper,29497,16,54.2,58.3,32.6,95.6
Jefferson,430933,254,58.9,57.8,50.7,65.6
Midland,54528,27,49.5,57.3,37.3,83.8
Rusk,47236,33,69.9,56.8,38.6,81.3
Bexar,742583,382,51.4,56.6,50.9,62.8
Madison,14125,  ~,  ~,  ~,  ~,  ~
Navarro,32600,19,58.3,56.5,33.3,89.6
Montgomery,147410,72,48.8,55.0,42.2,70.4
Anderson,62387,27,43.3,54.5,34.7,81.2
Hopkins,13793,  ~,  ~,  ~,  ~,  ~
Hunt,38978,18,46.2,53.6,31.3,85.2
Potter,63053,26,41.2,53.3,33.8,79.4
Angelina,66497,36,54.1,53.2,36.7,74.8
Coryell,66333,26,39.2,53.0,33.0,80.8
Austin,13597,  ~,  ~,  ~,  ~,  ~
Freestone,15577,  ~,  ~,  ~,  ~,  ~
Nueces,66730,35,52.5,52.5,36.1,73.8
Camp,10930,  ~,  ~,  ~,  ~,  ~
Trinity,6966,  ~,  ~,  ~,  ~,  ~
Van Zandt,8376,  ~,  ~,  ~,  ~,  ~
Titus,15524,  ~,  ~,  ~,  ~,  ~
San Augustine,9195,  ~,  ~,  ~,  ~,  ~
Morris,14260,  ~,  ~,  ~,  ~,  ~
Wichita,72039,29,40.3,48.5,32.1,70.0
Upshur,17443,  ~,  ~,  ~,  ~,  ~
Robertson,16881,  ~,  ~,  ~,  ~,  ~
Chambers,16651,  ~,  ~,  ~,  ~,  ~
Shelby,22313,  ~,  ~,  ~,  ~,  ~
Panola,18630,  ~,  ~,  ~,  ~,  ~
Red River,10304,  ~,  ~,  ~,  ~,  ~
Caldwell,12889,  ~,  ~,  ~,  ~,  ~
Hardin,16100,  ~,  ~,  ~,  ~,  ~
Walker,84415,30,35.5,42.3,27.6,61.9
Brown,7472,  ~,  ~,  ~,  ~,  ~
Gonzales,6518,  ~,  ~,  ~,  ~,  ~
Lee,9464,  ~,  ~,  ~,  ~,  ~
Wilbarger,5131,  ~,  ~,  ~,  ~,  ~
Parker,10310,  ~,  ~,  ~,  ~,  ~
Nacogdoches,59701,21,35.2,39.1,23.6,60.7
Leon,6281,  ~,  ~,  ~,  ~,  ~
El Paso,136867,37,27.0,37.7,26.1,52.2
Jones,12254,  ~,  ~,  ~,  ~,  ~
San Patricio,5733,  ~,  ~,  ~,  ~,  ~
Medina,6473,  ~,  ~,  ~,  ~,  ~
Comal,16001,  ~,  ~,  ~,  ~,  ~
Kleberg,5673,  ~,  ~,  ~,  ~,  ~
Cameron,8517,  ~,  ~,  ~,  ~,  ~
Hidalgo,18941,  ~,  ~,  ~,  ~,  ~
Fayette,7986,  ~,  ~,  ~,  ~,  ~
Tyler,11935,  ~,  ~,  ~,  ~,  ~
Newton,14282,  ~,  ~,  ~,  ~,  ~
Fannin,11876,  ~,  ~,  ~,  ~,  ~
Howard,11445,  ~,  ~,  ~,  ~,  ~
Bee,13732,0, 0.0, 0.0, 0.0, 0.0
Karnes,6539,0, 0.0, 0.0, 0.0, 0.0
STATE,17407751,10894,62.6,69.6, 68.3,71.0

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 12, 2023."
"Cancer Incidence File, Apr 2022."
