Cancer Mortality Rates by County in Texas
"Breast Male and Female, Hispanic, 2015 - 2019"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Martin,13185,  ~,  ~,  ~,  ~,  ~
Upshur,17401,  ~,  ~,  ~,  ~,  ~
Lamb,36455,  ~,  ~,  ~,  ~,  ~
Callahan,6678,  ~,  ~,  ~,  ~,  ~
Llano,11001,  ~,  ~,  ~,  ~,  ~
Kimble,5317,  ~,  ~,  ~,  ~,  ~
Jim Hogg,24155,  ~,  ~,  ~,  ~,  ~
La Salle,32619,  ~,  ~,  ~,  ~,  ~
Reagan,12973,  ~,  ~,  ~,  ~,  ~
Kleberg,112618,19,16.9,20.6,12.4,32.1
Burleson,18656,  ~,  ~,  ~,  ~,  ~
Knox,6389,  ~,  ~,  ~,  ~,  ~
Hockley,55247,  ~,  ~,  ~,  ~,  ~
Sutton,12000,  ~,  ~,  ~,  ~,  ~
Jackson,24397,  ~,  ~,  ~,  ~,  ~
Edwards,5292,  ~,  ~,  ~,  ~,  ~
Haskell,8131,  ~,  ~,  ~,  ~,  ~
Mason,5302,  ~,  ~,  ~,  ~,  ~
Crosby,16282,  ~,  ~,  ~,  ~,  ~
Liberty,103922,  ~,  ~,  ~,  ~,  ~
Hardin,16451,  ~,  ~,  ~,  ~,  ~
Matagorda,78101,  ~,  ~,  ~,  ~,  ~
Palo Pinto,28256,  ~,  ~,  ~,  ~,  ~
Mitchell,16783,  ~,  ~,  ~,  ~,  ~
Refugio,17986,  ~,  ~,  ~,  ~,  ~
Colorado,31543,  ~,  ~,  ~,  ~,  ~
Gonzales,52663,  ~,  ~,  ~,  ~,  ~
Aransas,33803,  ~,  ~,  ~,  ~,  ~
Crockett,11763,  ~,  ~,  ~,  ~,  ~
Andrews,51043,  ~,  ~,  ~,  ~,  ~
Hall,5295,  ~,  ~,  ~,  ~,  ~
Cherokee,60204,  ~,  ~,  ~,  ~,  ~
Upton,9826,  ~,  ~,  ~,  ~,  ~
Ward,31210,  ~,  ~,  ~,  ~,  ~
Fannin,19478,  ~,  ~,  ~,  ~,  ~
Wise,63820,  ~,  ~,  ~,  ~,  ~
Childress,11022,  ~,  ~,  ~,  ~,  ~
Zavala,56421,  ~,  ~,  ~,  ~,  ~
Starr,307355,31,10.1,12.1, 8.2,17.2
Bowie,35446,  ~,  ~,  ~,  ~,  ~
Cochran,8400,  ~,  ~,  ~,  ~,  ~
Parker,82700,  ~,  ~,  ~,  ~,  ~
Cameron,1888316,193,10.2,11.8,10.1,13.5
Jones,27403,  ~,  ~,  ~,  ~,  ~
El Paso,3445706,367,10.7,11.6,10.4,12.9
Hale,100050,  ~,  ~,  ~,  ~,  ~
Brewster,20667,  ~,  ~,  ~,  ~,  ~
Atascosa,159461,16,10.0,11.3, 6.4,18.5
Cooke,35821,  ~,  ~,  ~,  ~,  ~
Lavaca,18865,  ~,  ~,  ~,  ~,  ~
Austin,39777,  ~,  ~,  ~,  ~,  ~
Bailey,22403,  ~,  ~,  ~,  ~,  ~
Johnson,178676,  ~,  ~,  ~,  ~,  ~
Waller,77588,  ~,  ~,  ~,  ~,  ~
Wilson,97681,  ~,  ~,  ~,  ~,  ~
Kendall,52165,  ~,  ~,  ~,  ~,  ~
Taylor,167430,  ~,  ~,  ~,  ~,  ~
Bee,96200,  ~,  ~,  ~,  ~,  ~
Hidalgo,3934835,302, 7.7,10.2, 9.0,11.4
Webb,1304987,100, 7.7,10.1, 8.2,12.3
Rusk,44902,  ~,  ~,  ~,  ~,  ~
Hartley,7445,  ~,  ~,  ~,  ~,  ~
Hutchinson,24813,  ~,  ~,  ~,  ~,  ~
Galveston,408946,29, 7.1, 9.8, 6.4,14.3
Ector,487102,28, 5.8, 9.8, 6.3,14.4
Lynn,13709,  ~,  ~,  ~,  ~,  ~
Randall,145277,  ~,  ~,  ~,  ~,  ~
Hays,415234,20, 4.8, 9.6, 5.5,15.1
Bexar,5881816,441, 7.5, 9.4, 8.5,10.3
Victoria,215482,16, 7.4, 9.4, 5.3,15.3
Hood,35953,  ~,  ~,  ~,  ~,  ~
Leon,12436,  ~,  ~,  ~,  ~,  ~
Uvalde,96436,  ~,  ~,  ~,  ~,  ~
Nolan,28200,  ~,  ~,  ~,  ~,  ~
Ochiltree,27403,  ~,  ~,  ~,  ~,  ~
Val Verde,200769,18, 9.0, 9.1, 5.4,14.4
Karnes,42558,  ~,  ~,  ~,  ~,  ~
Bell,435883,18, 4.1, 9.1, 5.1,14.5
Guadalupe,301625,21, 7.0, 8.9, 5.4,13.8
Goliad,13549,  ~,  ~,  ~,  ~,  ~
Gaines,42737,  ~,  ~,  ~,  ~,  ~
Maverick,275936,23, 8.3, 8.6, 5.4,13.0
Blanco,11178,  ~,  ~,  ~,  ~,  ~
Wharton,85876,  ~,  ~,  ~,  ~,  ~
Crane,15407,  ~,  ~,  ~,  ~,  ~
Deaf Smith,68176,  ~,  ~,  ~,  ~,  ~
Medina,130208,  ~,  ~,  ~,  ~,  ~
San Patricio,193614,  ~,  ~,  ~,  ~,  ~
Denton,801230,31, 3.9, 8.0, 5.0,11.9
Willacy,94910,  ~,  ~,  ~,  ~,  ~
Montgomery,687432,27, 3.9, 7.8, 4.7,12.1
Midland,375220,16, 4.3, 7.8, 4.2,12.9
Presidio,28919,  ~,  ~,  ~,  ~,  ~
Nueces,1152574,78, 6.8, 7.5, 5.9, 9.4
Brazoria,551423,23, 4.2, 7.5, 4.5,11.5
Brazos,284732,  ~,  ~,  ~,  ~,  ~
Scurry,34742,  ~,  ~,  ~,  ~,  ~
McLennan,329486,  ~,  ~,  ~,  ~,  ~
Dimmit,45345,  ~,  ~,  ~,  ~,  ~
Fort Bend,932476,41, 4.4, 7.1, 4.9, 9.8
Limestone,25460,  ~,  ~,  ~,  ~,  ~
Bosque,16789,  ~,  ~,  ~,  ~,  ~
Dallas,5206828,200, 3.8, 7.0, 5.9, 8.2
Harris,9916150,380, 3.8, 6.8, 6.1, 7.6
Harrison,43221,  ~,  ~,  ~,  ~,  ~
Live Oak,24185,  ~,  ~,  ~,  ~,  ~
Young,16867,  ~,  ~,  ~,  ~,  ~
Calhoun,52807,  ~,  ~,  ~,  ~,  ~
Kaufman,132930,  ~,  ~,  ~,  ~,  ~
Tom Green,236874,  ~,  ~,  ~,  ~,  ~
Tarrant,2937996,106, 3.6, 6.7, 5.3, 8.3
Gregg,115192,  ~,  ~,  ~,  ~,  ~
Dawson,37076,  ~,  ~,  ~,  ~,  ~
Freestone,15343,  ~,  ~,  ~,  ~,  ~
Coryell,69399,  ~,  ~,  ~,  ~,  ~
De Witt,35823,  ~,  ~,  ~,  ~,  ~
Williamson,670345,23, 3.4, 6.4, 3.8,10.0
Reeves,57655,  ~,  ~,  ~,  ~,  ~
Jim Wells,164815,  ~,  ~,  ~,  ~,  ~
Swisher,16306,  ~,  ~,  ~,  ~,  ~
Polk,37184,  ~,  ~,  ~,  ~,  ~
Lubbock,539668,23, 4.3, 6.2, 3.8, 9.4
Pecos,54296,  ~,  ~,  ~,  ~,  ~
Duval,50191,  ~,  ~,  ~,  ~,  ~
Travis,2066563,64, 3.1, 5.8, 4.3, 7.5
Collin,741509,24, 3.2, 5.7, 3.3, 9.0
Kinney,10954,  ~,  ~,  ~,  ~,  ~
Bastrop,159566,  ~,  ~,  ~,  ~,  ~
Howard,77784,  ~,  ~,  ~,  ~,  ~
Caldwell,110067,  ~,  ~,  ~,  ~,  ~
Gray,32518,  ~,  ~,  ~,  ~,  ~
Moore,59972,  ~,  ~,  ~,  ~,  ~
Shelby,23016,  ~,  ~,  ~,  ~,  ~
Winkler,23887,  ~,  ~,  ~,  ~,  ~
Chambers,46196,  ~,  ~,  ~,  ~,  ~
Brown,41979,  ~,  ~,  ~,  ~,  ~
Hill,36702,  ~,  ~,  ~,  ~,  ~
San Jacinto,18498,  ~,  ~,  ~,  ~,  ~
Ellis,227768,  ~,  ~,  ~,  ~,  ~
Kerr,69899,  ~,  ~,  ~,  ~,  ~
Frio,78430,  ~,  ~,  ~,  ~,  ~
Wilbarger,18847,  ~,  ~,  ~,  ~,  ~
Smith,220735,  ~,  ~,  ~,  ~,  ~
Titus,70277,  ~,  ~,  ~,  ~,  ~
Yoakum,28519,  ~,  ~,  ~,  ~,  ~
Navarro,66709,  ~,  ~,  ~,  ~,  ~
Potter,229016,  ~,  ~,  ~,  ~,  ~
Zapata,67481,  ~,  ~,  ~,  ~,  ~
Bandera,20888,  ~,  ~,  ~,  ~,  ~
Orange,32473,  ~,  ~,  ~,  ~,  ~
Jefferson,261617,  ~,  ~,  ~,  ~,  ~
Washington,28044,  ~,  ~,  ~,  ~,  ~
Comal,194150,  ~,  ~,  ~,  ~,  ~
Milam,32710,  ~,  ~,  ~,  ~,  ~
Grimes,33602,  ~,  ~,  ~,  ~,  ~
Gillespie,30807,  ~,  ~,  ~,  ~,  ~
Wichita,126536,  ~,  ~,  ~,  ~,  ~
Henderson,51584,  ~,  ~,  ~,  ~,  ~
Brooks,32504,  ~,  ~,  ~,  ~,  ~
Grayson,87197,  ~,  ~,  ~,  ~,  ~
Rockwall,85570,  ~,  ~,  ~,  ~,  ~
Hunt,76887,  ~,  ~,  ~,  ~,  ~
Angelina,96131,  ~,  ~,  ~,  ~,  ~
Falls,19915,0, 0.0, 0.0, 0.0, 0.0
Erath,43970,0, 0.0, 0.0, 0.0, 0.0
Comanche,18878,0, 0.0, 0.0, 0.0, 0.0
Coleman,7319,0, 0.0, 0.0, 0.0, 0.0
Schleicher,7880,0, 0.0, 0.0, 0.0, 0.0
Montague,10736,0, 0.0, 0.0, 0.0, 0.0
San Saba,9018,0, 0.0, 0.0, 0.0, 0.0
Runnels,17568,0, 0.0, 0.0, 0.0, 0.0
Robertson,17748,0, 0.0, 0.0, 0.0, 0.0
Parmer,30653,0, 0.0, 0.0, 0.0, 0.0
Panola,10157,0, 0.0, 0.0, 0.0, 0.0
Nacogdoches,63054,0, 0.0, 0.0, 0.0, 0.0
Morris,6079,0, 0.0, 0.0, 0.0, 0.0
Burnet,51706,0, 0.0, 0.0, 0.0, 0.0
Lamar,19306,0, 0.0, 0.0, 0.0, 0.0
Madison,16500,0, 0.0, 0.0, 0.0, 0.0
McCulloch,13019,0, 0.0, 0.0, 0.0, 0.0
Lipscomb,5695,0, 0.0, 0.0, 0.0, 0.0
Camp,16006,0, 0.0, 0.0, 0.0, 0.0
Lee,20145,0, 0.0, 0.0, 0.0, 0.0
Cass,6811,0, 0.0, 0.0, 0.0, 0.0
Castro,24591,0, 0.0, 0.0, 0.0, 0.0
Lampasas,20428,0, 0.0, 0.0, 0.0, 0.0
Fayette,26398,0, 0.0, 0.0, 0.0, 0.0
Fisher,5437,0, 0.0, 0.0, 0.0, 0.0
Floyd,16985,0, 0.0, 0.0, 0.0, 0.0
Sherman,6730,0, 0.0, 0.0, 0.0, 0.0
Somervell,8150,0, 0.0, 0.0, 0.0, 0.0
Trinity,7342,0, 0.0, 0.0, 0.0, 0.0
Stephens,11182,0, 0.0, 0.0, 0.0, 0.0
Wood,22235,0, 0.0, 0.0, 0.0, 0.0
Tyler,8289,0, 0.0, 0.0, 0.0, 0.0
Wheeler,6955,0, 0.0, 0.0, 0.0, 0.0
Terry,34346,0, 0.0, 0.0, 0.0, 0.0
Van Zandt,30080,0, 0.0, 0.0, 0.0, 0.0
Walker,64731,0, 0.0, 0.0, 0.0, 0.0
Eastland,14924,0, 0.0, 0.0, 0.0, 0.0
Dallam,16582,0, 0.0, 0.0, 0.0, 0.0
