Cancer Mortality Rates by County in Texas
"Breast Male and Female, NH Black, 2015 - 2019"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Morris,14260,  ~,  ~,  ~,  ~,  ~
San Patricio,5733,  ~,  ~,  ~,  ~,  ~
Austin,13597,  ~,  ~,  ~,  ~,  ~
Colorado,13088,  ~,  ~,  ~,  ~,  ~
Madison,14125,  ~,  ~,  ~,  ~,  ~
Polk,25452,  ~,  ~,  ~,  ~,  ~
Wood,12125,  ~,  ~,  ~,  ~,  ~
Cooke,7096,  ~,  ~,  ~,  ~,  ~
Kleberg,5673,  ~,  ~,  ~,  ~,  ~
Caldwell,12889,  ~,  ~,  ~,  ~,  ~
Leon,6281,  ~,  ~,  ~,  ~,  ~
Comal,16001,  ~,  ~,  ~,  ~,  ~
Ector,36809,  ~,  ~,  ~,  ~,  ~
Chambers,16651,  ~,  ~,  ~,  ~,  ~
Henderson,26397,  ~,  ~,  ~,  ~,  ~
Grimes,21938,  ~,  ~,  ~,  ~,  ~
Galveston,217295,50,23.0,22.9,16.8,30.4
Kaufman,74190,  ~,  ~,  ~,  ~,  ~
Midland,54528,  ~,  ~,  ~,  ~,  ~
Orange,37153,  ~,  ~,  ~,  ~,  ~
Bowie,119118,21,17.6,20.9,12.7,32.2
Tarrant,1732019,271,15.7,20.4,17.8,23.2
Anderson,62387,  ~,  ~,  ~,  ~,  ~
Nueces,66730,  ~,  ~,  ~,  ~,  ~
Johnson,29733,  ~,  ~,  ~,  ~,  ~
Cass,25991,  ~,  ~,  ~,  ~,  ~
Guadalupe,62663,  ~,  ~,  ~,  ~,  ~
Bastrop,30557,  ~,  ~,  ~,  ~,  ~
Dallas,3003570,479,15.9,18.5,16.8,20.4
Harris,4433618,694,15.7,18.5,17.1,20.0
Gregg,128749,21,16.3,18.4,11.2,28.4
De Witt,8871,  ~,  ~,  ~,  ~,  ~
Washington,30615,  ~,  ~,  ~,  ~,  ~
Navarro,32600,  ~,  ~,  ~,  ~,  ~
Liberty,41444,  ~,  ~,  ~,  ~,  ~
Potter,63053,  ~,  ~,  ~,  ~,  ~
Brazoria,252234,29,11.5,16.2,10.3,24.0
Jefferson,430933,67,15.6,16.0,12.3,20.5
Limestone,20581,  ~,  ~,  ~,  ~,  ~
Walker,84415,  ~,  ~,  ~,  ~,  ~
Tom Green,23762,  ~,  ~,  ~,  ~,  ~
McLennan,184055,26,14.1,15.5,10.0,22.9
Montgomery,147410,16,10.8,15.5, 8.3,26.0
Jasper,29497,  ~,  ~,  ~,  ~,  ~
Collin,496083,48, 9.7,15.2,10.2,21.6
Bexar,742583,99,13.3,15.1,12.2,18.5
Shelby,22313,  ~,  ~,  ~,  ~,  ~
Matagorda,19809,  ~,  ~,  ~,  ~,  ~
Harrison,70704,  ~,  ~,  ~,  ~,  ~
Lubbock,112953,  ~,  ~,  ~,  ~,  ~
Ellis,92719,  ~,  ~,  ~,  ~,  ~
Upshur,17443,  ~,  ~,  ~,  ~,  ~
Bell,405710,38, 9.4,14.2, 9.7,20.1
Red River,10304,  ~,  ~,  ~,  ~,  ~
Hunt,38978,  ~,  ~,  ~,  ~,  ~
Houston,28982,  ~,  ~,  ~,  ~,  ~
Freestone,15577,  ~,  ~,  ~,  ~,  ~
Denton,429952,33, 7.7,13.1, 8.0,20.1
El Paso,136867,  ~,  ~,  ~,  ~,  ~
San Jacinto,13907,  ~,  ~,  ~,  ~,  ~
Smith,202787,25,12.3,12.9, 8.2,19.2
Fort Bend,788896,90,11.4,12.7, 9.9,16.0
Lee,9464,  ~,  ~,  ~,  ~,  ~
Travis,519567,51, 9.8,12.2, 8.9,16.3
Wichita,72039,  ~,  ~,  ~,  ~,  ~
Lamar,34229,  ~,  ~,  ~,  ~,  ~
Van Zandt,8376,  ~,  ~,  ~,  ~,  ~
Milam,11349,  ~,  ~,  ~,  ~,  ~
Wharton,27223,  ~,  ~,  ~,  ~,  ~
Brazos,121358,  ~,  ~,  ~,  ~,  ~
Rusk,47236,  ~,  ~,  ~,  ~,  ~
Hale,8762,  ~,  ~,  ~,  ~,  ~
Waller,64688,  ~,  ~,  ~,  ~,  ~
Grayson,42150,  ~,  ~,  ~,  ~,  ~
Hopkins,13793,  ~,  ~,  ~,  ~,  ~
Brown,7472,  ~,  ~,  ~,  ~,  ~
Rockwall,32704,  ~,  ~,  ~,  ~,  ~
Cherokee,37671,  ~,  ~,  ~,  ~,  ~
Taylor,54265,  ~,  ~,  ~,  ~,  ~
Tyler,11935,  ~,  ~,  ~,  ~,  ~
Williamson,188086,16, 8.5, 9.3, 5.1,15.8
Falls,20657,  ~,  ~,  ~,  ~,  ~
Robertson,16881,  ~,  ~,  ~,  ~,  ~
Hill,12095,  ~,  ~,  ~,  ~,  ~
Panola,18630,  ~,  ~,  ~,  ~,  ~
Hays,43123,  ~,  ~,  ~,  ~,  ~
Victoria,28209,  ~,  ~,  ~,  ~,  ~
Trinity,6966,  ~,  ~,  ~,  ~,  ~
Marion,10980,  ~,  ~,  ~,  ~,  ~
Angelina,66497,  ~,  ~,  ~,  ~,  ~
Newton,14282,  ~,  ~,  ~,  ~,  ~
Burleson,11628,  ~,  ~,  ~,  ~,  ~
San Augustine,9195,  ~,  ~,  ~,  ~,  ~
Hardin,16100,  ~,  ~,  ~,  ~,  ~
Nacogdoches,59701,  ~,  ~,  ~,  ~,  ~
Coryell,66333,  ~,  ~,  ~,  ~,  ~
Titus,15524,0, 0.0, 0.0, 0.0, 0.0
Howard,11445,0, 0.0, 0.0, 0.0, 0.0
Bee,13732,0, 0.0, 0.0, 0.0, 0.0
Gray,5931,0, 0.0, 0.0, 0.0, 0.0
Karnes,6539,0, 0.0, 0.0, 0.0, 0.0
Camp,10930,0, 0.0, 0.0, 0.0, 0.0
Randall,22421,0, 0.0, 0.0, 0.0, 0.0
Wilbarger,5131,0, 0.0, 0.0, 0.0, 0.0
