Cancer Mortality Rates by County in Texas
"Breast Male and Female, NH White, 2015 - 2019"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Willacy,9899,  ~,  ~,  ~,  ~,  ~
Maverick,8017,  ~,  ~,  ~,  ~,  ~
Lynn,14557,  ~,  ~,  ~,  ~,  ~
Upton,7745,  ~,  ~,  ~,  ~,  ~
Goliad,22201,  ~,  ~,  ~,  ~,  ~
Knox,10874,  ~,  ~,  ~,  ~,  ~
Uvalde,35752,  ~,  ~,  ~,  ~,  ~
Jeff Davis,7066,  ~,  ~,  ~,  ~,  ~
Armstrong,8315,  ~,  ~,  ~,  ~,  ~
Yoakum,13575,  ~,  ~,  ~,  ~,  ~
Lipscomb,10697,  ~,  ~,  ~,  ~,  ~
Mason,15367,  ~,  ~,  ~,  ~,  ~
Castro,12383,  ~,  ~,  ~,  ~,  ~
Hamilton,35450,  ~,  ~,  ~,  ~,  ~
Callahan,60364,18,29.8,21.0,12.0,34.8
Childress,20674,  ~,  ~,  ~,  ~,  ~
Nolan,42054,16,38.0,20.6,11.8,35.7
Lamb,26095,  ~,  ~,  ~,  ~,  ~
Irion,5527,  ~,  ~,  ~,  ~,  ~
Kleberg,32335,  ~,  ~,  ~,  ~,  ~
Sherman,8180,  ~,  ~,  ~,  ~,  ~
Dickens,6845,  ~,  ~,  ~,  ~,  ~
Ector,264650,67,25.3,18.8,14.5,24.2
Hale,58104,18,31.0,18.7,10.4,31.9
Bailey,11888,  ~,  ~,  ~,  ~,  ~
Falls,44879,  ~,  ~,  ~,  ~,  ~
McCulloch,25921,  ~,  ~,  ~,  ~,  ~
Blanco,44638,  ~,  ~,  ~,  ~,  ~
Franklin,42789,  ~,  ~,  ~,  ~,  ~
Kimble,16119,  ~,  ~,  ~,  ~,  ~
Jackson,43847,  ~,  ~,  ~,  ~,  ~
Crane,7554,  ~,  ~,  ~,  ~,  ~
Taylor,443081,90,20.3,16.0,12.7,20.0
Brown,137254,37,27.0,15.7,10.9,22.3
Bee,51776,  ~,  ~,  ~,  ~,  ~
De Witt,56215,  ~,  ~,  ~,  ~,  ~
Wharton,93438,22,23.6,15.5, 9.1,25.1
Fannin,138247,30,21.7,15.5,10.3,22.7
Pecos,20309,  ~,  ~,  ~,  ~,  ~
Deaf Smith,23609,  ~,  ~,  ~,  ~,  ~
Refugio,14914,  ~,  ~,  ~,  ~,  ~
Colorado,60541,17,28.1,15.0, 7.6,27.8
Grimes,83203,18,21.6,15.0, 8.5,25.0
Somervell,34783,  ~,  ~,  ~,  ~,  ~
Mitchell,20483,  ~,  ~,  ~,  ~,  ~
Hockley,54523,  ~,  ~,  ~,  ~,  ~
Johnson,611641,108,17.7,14.3,11.7,17.4
Parmer,16732,  ~,  ~,  ~,  ~,  ~
Wise,257617,47,18.2,14.1,10.2,19.0
Swisher,17473,  ~,  ~,  ~,  ~,  ~
Hemphill,12851,  ~,  ~,  ~,  ~,  ~
Burnet,173299,41,23.7,14.0, 9.6,20.1
Lampasas,77132,17,22.0,13.9, 7.9,23.7
Hill,127653,27,21.1,13.7, 8.5,21.2
Harrison,214771,39,18.2,13.6, 9.5,18.9
Andrews,36611,  ~,  ~,  ~,  ~,  ~
Sabine,45424,  ~,  ~,  ~,  ~,  ~
Medina,110740,21,19.0,13.2, 7.8,21.4
Fisher,12877,  ~,  ~,  ~,  ~,  ~
Lee,54900,  ~,  ~,  ~,  ~,  ~
Jasper,134166,26,19.4,12.9, 8.3,19.6
Victoria,209130,38,18.2,12.9, 8.9,18.3
Gregg,361658,71,19.6,12.8, 9.9,16.4
Rockwall,349259,50,14.3,12.8, 9.4,16.9
El Paso,520522,87,16.7,12.7,10.1,15.8
Live Oak,33037,  ~,  ~,  ~,  ~,  ~
Hopkins,135554,24,17.7,12.5, 7.9,19.2
Runnels,31915,  ~,  ~,  ~,  ~,  ~
Terry,25058,  ~,  ~,  ~,  ~,  ~
Coryell,226848,28,12.3,12.4, 8.2,18.0
Lubbock,828208,132,15.9,12.4,10.3,14.8
Wichita,438676,78,17.8,12.3, 9.7,15.6
Caldwell,84906,  ~,  ~,  ~,  ~,  ~
Limestone,69553,  ~,  ~,  ~,  ~,  ~
Delta,21590,  ~,  ~,  ~,  ~,  ~
Clay,47267,  ~,  ~,  ~,  ~,  ~
Harris,7087372,1109,15.7,12.1,11.4,12.9
Bowie,303330,51,16.8,12.1, 8.9,16.2
Bell,822353,115,14.0,12.1, 9.9,14.6
Galveston,970757,152,15.7,12.1,10.2,14.3
Morris,40530,  ~,  ~,  ~,  ~,  ~
Gray,71931,  ~,  ~,  ~,  ~,  ~
Bosque,71787,  ~,  ~,  ~,  ~,  ~
Hays,585939,76,13.0,12.0, 9.4,15.2
