Year,LocationAbbr,LocationDesc,Topic,Question,DataValueType,DataValue,StratificationCategory1,Stratification1,unemployed_rate
2015,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,12,Race/Ethnicity,"Black, non-Hispanic",6.2
2015,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,435,Gender,Female,6.2
2015,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,62,Gender,Female,6.2
2015,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,13,Race/Ethnicity,Hispanic,6.2
2015,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,62,Overall,Overall,6.2
2015,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,435,Overall,Overall,6.2
2015,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,308,Race/Ethnicity,"White, non-Hispanic",6.2
2015,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,45,Race/Ethnicity,"White, non-Hispanic",6.2
2016,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,13,Race/Ethnicity,"Black, non-Hispanic",6.4
2016,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,432,Gender,Female,6.4
2016,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,64,Gender,Female,6.4
2016,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,14,Race/Ethnicity,Hispanic,6.4
2016,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,432,Overall,Overall,6.4
2016,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,64,Overall,Overall,6.4
2016,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,304,Race/Ethnicity,"White, non-Hispanic",6.4
2016,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,46,Race/Ethnicity,"White, non-Hispanic",6.4
2017,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,11,Race/Ethnicity,"Black, non-Hispanic",6.6
2017,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,428,Gender,Female,6.6
2017,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,65,Gender,Female,6.6
2017,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,16,Race/Ethnicity,Hispanic,6.6
2017,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,428,Overall,Overall,6.6
2017,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,65,Overall,Overall,6.6
2017,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,303,Race/Ethnicity,"White, non-Hispanic",6.6
2017,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,47,Race/Ethnicity,"White, non-Hispanic",6.6
2018,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,11,Race/Ethnicity,"Black, non-Hispanic",6.4
2018,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,435,Gender,Female,6.4
2018,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,64,Gender,Female,6.4
2018,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,15,Race/Ethnicity,Hispanic,6.4
2018,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,435,Overall,Overall,6.4
2018,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,64,Overall,Overall,6.4
2018,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,310,Race/Ethnicity,"White, non-Hispanic",6.4
2018,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,46,Race/Ethnicity,"White, non-Hispanic",6.4
2019,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,10,Race/Ethnicity,"Black, non-Hispanic",6
2019,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,444,Gender,Female,6
2019,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,63,Gender,Female,6
2019,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,18,Race/Ethnicity,Hispanic,6
2019,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,444,Overall,Overall,6
2019,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,63,Overall,Overall,6
2019,AK,Alaska,Breast Cancer,Incidence,Average Annual Number,307,Race/Ethnicity,"White, non-Hispanic",6
2019,AK,Alaska,Breast Cancer,Mortality,Average Annual Number,46,Race/Ethnicity,"White, non-Hispanic",6
2015,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,886,Race/Ethnicity,"Black, non-Hispanic",6.1
2015,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,200,Race/Ethnicity,"Black, non-Hispanic",6.1
2015,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3662,Gender,Female,6.1
2015,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,679,Gender,Female,6.1
2015,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,30,Race/Ethnicity,Hispanic,6.1
2015,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3662,Overall,Overall,6.1
2015,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,679,Overall,Overall,6.1
2015,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,2689,Race/Ethnicity,"White, non-Hispanic",6.1
2015,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,472,Race/Ethnicity,"White, non-Hispanic",6.1
2016,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,913,Race/Ethnicity,"Black, non-Hispanic",6.1
2016,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,201,Race/Ethnicity,"Black, non-Hispanic",6.1
2016,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3736,Gender,Female,6.1
2016,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,685,Gender,Female,6.1
2016,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,29,Race/Ethnicity,Hispanic,6.1
2016,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3736,Overall,Overall,6.1
2016,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,685,Overall,Overall,6.1
2016,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,2730,Race/Ethnicity,"White, non-Hispanic",6.1
2016,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,479,Race/Ethnicity,"White, non-Hispanic",6.1
2017,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,937,Race/Ethnicity,"Black, non-Hispanic",5.5
2017,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,195,Race/Ethnicity,"Black, non-Hispanic",5.5
2017,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3764,Gender,Female,5.5
2017,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,686,Gender,Female,5.5
2017,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,31,Race/Ethnicity,Hispanic,5.5
2017,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,3764,Overall,Overall,5.5
2017,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,686,Overall,Overall,5.5
2017,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,2733,Race/Ethnicity,"White, non-Hispanic",5.5
2017,AL,Alabama,Breast Cancer,Mortality,Average Annual Number,484,Race/Ethnicity,"White, non-Hispanic",5.5
2018,AL,Alabama,Breast Cancer,Incidence,Average Annual Number,951,Race/Ethnicity,"Black, non-Hispanic",4
