County,Description,Unit,2015,2016,2017,2018,2019
"Anderson, TX",Personal income (thousands of dollars) ,Thousands of dollars,1868364,1918588,1939647,2008104,2114625
"Anderson, TX",Population (persons) 1/,Number of persons,57707,57644,58288,58201,57884
"Anderson, TX",Per capita personal income (dollars) 2/,Dollars,32377,33283,33277,34503,36532
"Andrews, TX",Personal income (thousands of dollars) ,Thousands of dollars,831177,728104,805103,926151,990376
"Andrews, TX",Population (persons) 1/,Number of persons,17928,17622,17424,17858,18581
"Andrews, TX",Per capita personal income (dollars) 2/,Dollars,46362,41318,46207,51862,53300
"Angelina, TX",Personal income (thousands of dollars) ,Thousands of dollars,3381215,3281123,3312835,3404546,3490130
"Angelina, TX",Population (persons) 1/,Number of persons,87608,87387,87204,86493,86353
"Angelina, TX",Per capita personal income (dollars) 2/,Dollars,38595,37547,37989,39362,40417
"Aransas, TX",Personal income (thousands of dollars) ,Thousands of dollars,1212707,1127104,1179087,1207043,1294294
"Aransas, TX",Population (persons) 1/,Number of persons,24868,25283,25499,23364,23454
"Aransas, TX",Per capita personal income (dollars) 2/,Dollars,48766,44580,46241,51663,55184
"Archer, TX",Personal income (thousands of dollars) ,Thousands of dollars,416935,408913,422219,437039,468576
"Archer, TX",Population (persons) 1/,Number of persons,8674,8673,8664,8638,8536
"Archer, TX",Per capita personal income (dollars) 2/,Dollars,48067,47148,48733,50595,54894
"Armstrong, TX",Personal income (thousands of dollars) ,Thousands of dollars,82436,82605,85854,97260,101743
"Armstrong, TX",Population (persons) 1/,Number of persons,1890,1825,1850,1841,1833
"Armstrong, TX",Per capita personal income (dollars) 2/,Dollars,43617,45263,46408,52830,55506
"Atascosa, TX",Personal income (thousands of dollars) ,Thousands of dollars,1787591,1694454,1807702,1927918,1979947
"Atascosa, TX",Population (persons) 1/,Number of persons,47107,47163,47314,48252,48782
"Atascosa, TX",Per capita personal income (dollars) 2/,Dollars,37947,35928,38206,39955,40588
"Austin, TX",Personal income (thousands of dollars) ,Thousands of dollars,1498881,1437152,1463894,1505244,1628059
"Austin, TX",Population (persons) 1/,Number of persons,29548,29735,29826,30111,30231
"Austin, TX",Per capita personal income (dollars) 2/,Dollars,50727,48332,49081,49990,53854
"Bailey, TX",Personal income (thousands of dollars) ,Thousands of dollars,309644,274069,302212,293828,310561
"Bailey, TX",Population (persons) 1/,Number of persons,7308,7243,7106,7035,7009
"Bailey, TX",Per capita personal income (dollars) 2/,Dollars,42371,37839,42529,41767,44309
"Bandera, TX",Personal income (thousands of dollars) ,Thousands of dollars,901018,923552,968371,1035038,1107004
"Bandera, TX",Population (persons) 1/,Number of persons,19784,20047,20377,20578,20646
"Bandera, TX",Per capita personal income (dollars) 2/,Dollars,45543,46069,47523,50298,53618
"Bastrop, TX",Personal income (thousands of dollars) ,Thousands of dollars,2782797,2860609,3070153,3267330,3559572
"Bastrop, TX",Population (persons) 1/,Number of persons,82925,86111,88756,91415,94296
"Bastrop, TX",Per capita personal income (dollars) 2/,Dollars,33558,33220,34591,35742,37749
"Baylor, TX",Personal income (thousands of dollars) ,Thousands of dollars,153187,144651,151853,159111,168600
"Baylor, TX",Population (persons) 1/,Number of persons,3582,3602,3515,3521,3476
"Baylor, TX",Per capita personal income (dollars) 2/,Dollars,42766,40159,43201,45189,48504
"Bee, TX",Personal income (thousands of dollars) ,Thousands of dollars,907478,867785,904494,941222,986838
"Bee, TX",Population (persons) 1/,Number of persons,31830,31879,31511,31264,31236
"Bee, TX",Per capita personal income (dollars) 2/,Dollars,28510,27221,28704,30106,31593
"Bell, TX",Personal income (thousands of dollars) ,Thousands of dollars,13983271,14108289,14844056,15309775,16002569
"Bell, TX",Population (persons) 1/,Number of persons,337409,342649,349059,357320,365511
"Bell, TX",Per capita personal income (dollars) 2/,Dollars,41443,41174,42526,42846,43781
"Bexar, TX",Personal income (thousands of dollars) ,Thousands of dollars,81669876,82735996,87407034,93293274,93739999
"Bexar, TX",Population (persons) 1/,Number of persons,1888800,1920089,1947735,1971056,1991044
