County,Description,Unit,2015,2016,2017,2018,2019
"Anderson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1665103,1716076,1760892,1820342,1889459
"Anderson, TX",Chain-type quantity indexes for real GDP ,Quantity index,93.421,96.281,98.795,102.131,106.009
"Anderson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1721441,1788842,1868140,1978146,2089526
"Andrews, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4842339,4950791,4993989,5048964,5163990
"Andrews, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.55,100.757,101.636,102.755,105.096
"Andrews, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2658633,2392102,3014767,3607915,3007396
"Angelina, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3029164,2865538,2900544,3015825,3085230
"Angelina, TX",Chain-type quantity indexes for real GDP ,Quantity index,92.884,87.867,88.94,92.475,94.603
"Angelina, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3217120,3086245,3175296,3384253,3474394
"Aransas, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,690991,657369,616037,619307,653121
"Aransas, TX",Chain-type quantity indexes for real GDP ,Quantity index,107.033,101.825,95.423,95.929,101.167
"Aransas, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,691186,663203,639150,659720,709769
"Archer, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,376830,343890,333898,339652,340175
"Archer, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.635,90.013,87.398,88.904,89.041
"Archer, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,318184,278637,289424,308524,300077
"Armstrong, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,50944,45935,49415,65327,64907
"Armstrong, TX",Chain-type quantity indexes for real GDP ,Quantity index,124.337,112.112,120.604,159.441,158.415
"Armstrong, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,50715,45798,49859,66464,66509
"Atascosa, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4485589,3957869,3992503,4155178,4650805
"Atascosa, TX",Chain-type quantity indexes for real GDP ,Quantity index,187.2,165.177,166.622,173.411,194.095
"Atascosa, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3013959,2466205,2845933,3292645,3292710
"Austin, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1176410,1182578,1245168,1324691,1355487
"Austin, TX",Chain-type quantity indexes for real GDP ,Quantity index,100.685,101.213,106.57,113.376,116.011
"Austin, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1212746,1238748,1322513,1448568,1518719
"Bailey, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,403505,371804,416464,414351,432768
"Bailey, TX",Chain-type quantity indexes for real GDP ,Quantity index,115.655,106.569,119.37,118.764,124.043
"Bailey, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,378906,328077,384423,379860,397774
"Bandera, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,352064,352071,343706,357940,378376
"Bandera, TX",Chain-type quantity indexes for real GDP ,Quantity index,107.02,107.022,104.479,108.806,115.018
"Bandera, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,371945,374041,373884,398611,433257
"Bastrop, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1847324,1863344,1982837,2098834,2184542
"Bastrop, TX",Chain-type quantity indexes for real GDP ,Quantity index,106.674,107.599,114.499,121.198,126.147
"Bastrop, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1991112,2024878,2193650,2375076,2536281
"Baylor, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,163406,153863,155058,160365,165271
"Baylor, TX",Chain-type quantity indexes for real GDP ,Quantity index,132.444,124.709,125.677,129.979,133.955
"Baylor, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,154053,141717,148147,156802,163757
"Bee, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,876245,820038,772203,763052,789597
"Bee, TX",Chain-type quantity indexes for real GDP ,Quantity index,96.292,90.115,84.859,83.853,86.77
"Bee, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,814450,756358,744617,767413,794213
