County,2015,2016,2017,2018,2019
"Anderson County, TX",4,4.3,3.7,3.1,2.9
"Andrews County, TX",3.5,4.7,3.1,2.4,2.3
"Angelina County, TX",5.6,5.9,5.1,4.4,4
"Aransas County, TX",5.1,5.6,6.9,6,4.3
"Archer County, TX",4.5,4.3,3.4,3.1,2.8
"Armstrong County, TX",2.7,2.8,2.6,2.7,2.7
"Atascosa County, TX",4.8,5.3,4.3,3.8,3.6
"Austin County, TX",4.6,5.3,4.4,3.7,3.4
"Bailey County, TX",4.3,4.4,4.3,4.4,3.7
"Bandera County, TX",4,4.1,3.6,3.4,3.3
"Bastrop County, TX",3.9,3.7,3.6,3.4,3.1
"Baylor County, TX",3.6,3.6,3.4,3.2,2.3
"Bee County, TX",6.2,7.5,6.5,5.1,4.4
"Bell County, TX",4.7,4.5,4.3,4.2,3.9
"Bexar County, TX",3.8,3.8,3.6,3.4,3.2
"Blanco County, TX",3.2,3.1,2.8,2.6,2.4
"Borden County, TX",2.9,3.6,3.4,3.2,2.5
"Bosque County, TX",4.5,4.3,4,3.7,3.4
"Bowie County, TX",4.8,4.7,4.6,5,4.4
"Brazoria County, TX",4.6,5.2,5.3,4.6,4.2
"Brazos County, TX",3.3,3.5,3.1,2.9,2.7
"Brewster County, TX",4,3.8,3.5,3.4,2.9
"Briscoe County, TX",3.9,4.4,4.4,4,3.5
"Brooks County, TX",10,11.8,8.3,6.5,5.1
"Brown County, TX",4.4,4.4,3.9,3.8,3.7
"Burleson County, TX",4.4,4.7,4.2,3.6,3.1
"Burnet County, TX",3.7,3.5,3.2,2.9,2.7
"Caldwell County, TX",4.4,4.3,4,3.7,3.4
"Calhoun County, TX",4,5.6,5.8,4.1,3.2
"Callahan County, TX",4.3,4.3,3.7,3.4,3.1
"Cameron County, TX",7.2,7.2,7,6.2,5.5
"Camp County, TX",6.2,6.9,5.7,4.9,4.2
"Carson County, TX",3.2,3.3,3.3,2.8,2.6
"Cass County, TX",6.8,7.2,6,5.1,4.3
"Castro County, TX",3.4,3.1,3.3,2.9,2.8
"Chambers County, TX",5.4,6.1,6.6,5.4,4.5
"Cherokee County, TX",5.2,5.1,4.6,4.2,3.8
"Childress County, TX",3.1,3,3,2.7,2.7
"Clay County, TX",4.4,4.4,3.6,3.2,3.1
"Cochran County, TX",5.2,5,4.6,4.4,3.4
"Coke County, TX",4.1,4.1,3.7,3.5,3.3
"Coleman County, TX",5.6,5.8,4.5,4,4.1
"Collin County, TX",3.7,3.5,3.5,3.4,3.1
"Collingsworth County, TX",3.7,3.5,3.5,3.2,3.1
"Colorado County, TX",4,4.7,4,3.3,3.1
"Comal County, TX",3.7,3.6,3.4,3.2,3
"Comanche County, TX",4.3,4.3,3.7,3.6,3.2
"Concho County, TX",3.3,3.4,4.2,3.7,3.1
"Cooke County, TX",3.7,4,3.6,3.1,2.8
"Coryell County, TX",4.8,4.7,4.4,4.2,4
"Cottle County, TX",7.1,5.1,4.3,4.4,4.2
"Crane County, TX",5.8,8.6,5.3,3.9,4
"Crockett County, TX",6,7.5,4.1,3,2.9
"Crosby County, TX",4.4,4.4,4.2,4.7,4
"Culberson County, TX",4.2,4.1,3.7,3.1,4.1
"Dallam County, TX",2.2,2.2,2.2,2,2
"Dallas County, TX",4.3,4,4,3.8,3.5
"Dawson County, TX",4.6,5,4.9,4.3,3.9
"Deaf Smith County, TX",3.2,3.1,3.1,2.8,2.7
"Delta County, TX",4.6,3.8,3.4,3.5,3.4
"Denton County, TX",3.6,3.4,3.4,3.2,3
"DeWitt County, TX",4,5.5,4.4,3.2,2.6
"Dickens County, TX",4.7,4.9,4.9,4.3,4.2
"Dimmit County, TX",4.7,7.1,5.1,3,2.5
"Donley County, TX",4.2,4,3.7,3.5,3.4
"Duval County, TX",8.1,10.9,7.7,5.3,4.5
"Eastland County, TX",4.8,5.5,4.3,3.4,3.3
"Ector County, TX",4.7,6.4,4.1,2.7,2.7
"Edwards County, TX",4.6,4.6,3.2,2.9,2.3
"Ellis County, TX",4,3.8,3.5,3.3,3.1
"El Paso County, TX",5.2,5,4.7,4.3,3.8
"Erath County, TX",4,4.1,3.4,3.1,3.2
"Falls County, TX",4.3,4.4,4.3,3.9,3.3
