Year,State,Race,Household_Income,total_population,unemployment_rate,incidence,mortality
2015,Alabama,Black,44765,3807670,6.1,886,200
2015,Alabama,Hispanic,44765,3807670,6.1,30,0
2015,Alabama,White,44765,3807670,6.1,2689,472
2015,Alaska,Black,73355,544288,6.4,12,0
2015,Alaska,Hispanic,73355,544288,6.4,13,0
2015,Alaska,White,73355,544288,6.4,308,45
2015,Arizona,Black,51492,5325671,5.8,137,29
2015,Arizona,Hispanic,51492,5325671,5.8,653,100
2015,Arizona,White,51492,5325671,5.8,3524,634
2015,Arkansas,Black,41995,2305251,4.3,279,69
2015,Arkansas,Hispanic,41995,2305251,4.3,42,5
2015,Arkansas,White,41995,2305251,4.3,1728,331
2015,California,Black,64500,30422273,5.7,1685,405
2015,California,Hispanic,64500,30422273,5.7,4995,751
2015,California,White,64500,30422273,5.7,15428,2789
2015,Colorado,Black,63909,4275910,3.3,110,23
2015,Colorado,Hispanic,63909,4275910,3.3,404,60
2015,Colorado,White,63909,4275910,3.3,2998,467
2015,Connecticut,Black,71346,2873797,5.3,248,40
2015,Connecticut,Hispanic,71346,2873797,5.3,247,18
2015,Connecticut,White,71346,2873797,5.3,2649,393
2015,Delaware,Black,61255,749992,4.6,147,28
2015,Delaware,Hispanic,61255,749992,4.6,20,0
2015,Delaware,White,61255,749992,4.6,618,102
2015,Florida,Black,49426,16428472,5.1,1742,393
2015,Florida,Hispanic,49426,16428472,5.1,2496,372
2015,Florida,White,49426,16428472,5.1,11166,2038
2015,Georgia,Black,51244,7817713,5.7,2028,439
2015,Georgia,Hispanic,51244,7817713,5.7,204,22
2015,Georgia,White,51244,7817713,5.7,4622,750
2015,Hawaii,Black,73486,1089802,3.1,10,0
2015,Hawaii,Hispanic,73486,1089802,3.1,64,5
2015,Hawaii,White,73486,1089802,3.1,281,44
2015,Indiana,Black,50532,5131265,4.6,393,86
2015,Indiana,Hispanic,50532,5131265,4.6,98,15
2015,Indiana,White,50532,5131265,4.6,4244,766
2015,Iowa,Black,54736,2436877,3.6,36,6
2015,Iowa,Hispanic,54736,2436877,3.6,29,3
